,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.34,1.06,1.64,1.41,3.85,16.59,29.61,29.44,39.54,43.17,40.39,78.61,70.44,94.7,143.67
e_1,0.75,1.0,1.01,1.76,1.59,3.76,18.38,28.28,26.63,46.9,45.07,37.94,80.04,84.85,92.13,132.94
d_1,0.96,0.98,1.0,1.33,1.52,3.83,17.29,20.32,36.14,32.58,33.6,38.62,71.34,80.47,78.44,95.11
c_1,0.63,0.56,0.75,1.0,1.38,2.84,12.03,17.97,16.62,17.53,24.21,21.87,48.82,54.48,58.52,83.52
b_1,0.69,0.63,0.66,0.71,1.0,3.4,11.59,16.62,21.81,22.15,24.0,24.47,55.43,54.24,59.11,81.11
a_1,0.25,0.26,0.26,0.36,0.3,1.0,4.97,6.33,7.65,8.78,8.74,10.83,20.26,21.42,22.86,32.61
h_1,0.06,0.06,0.06,0.08,0.08,0.2,1.0,1.55,1.49,1.88,2.16,1.95,4.49,4.39,5.29,8.5
g_1,0.03,0.03,0.05,0.06,0.06,0.16,0.65,1.0,1.1,1.25,1.69,1.38,2.53,3.02,3.56,4.63
c_0,0.03,0.04,0.03,0.06,0.04,0.13,0.66,0.93,1.0,1.53,1.34,1.77,2.9,2.9,3.36,4.42
d_0,0.03,0.02,0.03,0.06,0.05,0.11,0.54,0.77,0.63,1.0,1.04,1.0,2.2,2.5,2.67,4.1
f_0,0.02,0.02,0.03,0.04,0.04,0.11,0.47,0.6,0.77,0.95,1.0,0.99,2.3,3.36,2.5,2.82
b_0,0.02,0.03,0.03,0.05,0.04,0.1,0.5,0.7,0.58,1.01,0.98,1.0,2.28,2.29,3.29,3.32
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.23,0.4,0.35,0.45,0.44,0.46,1.0,0.88,1.01,1.72
e_0,0.01,0.01,0.01,0.02,0.02,0.05,0.24,0.31,0.34,0.41,0.31,0.43,1.09,1.0,1.12,1.42
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.19,0.27,0.31,0.39,0.42,0.32,1.0,0.87,1.0,1.44
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.11,0.22,0.22,0.24,0.35,0.31,0.61,0.7,0.69,1.0
