,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,6.09,3.65,2.03,2.07,1.92,2.07,8.13,7.54,11.32,9.65,6.76,10.61,15.06,7.83,11.43,14.25
e_1,2.47,6.12,2.84,1.82,2.11,2.46,7.76,7.39,18.5,9.48,10.68,10.21,14.58,8.22,11.62,15.77
c_1,2.24,1.93,6.44,2.11,4.24,1.82,8.27,7.9,9.67,5.59,9.72,7.43,15.51,11.39,10.5,16.03
d_1,2.45,2.05,1.7,6.64,2.0,1.97,9.04,8.09,7.91,20.92,11.35,12.59,16.32,12.76,10.92,20.58
b_1,2.25,2.13,2.25,2.02,7.52,4.44,9.14,6.94,8.41,8.28,9.84,6.05,14.44,10.54,9.55,15.47
a_1,2.41,2.38,2.67,2.25,1.79,11.43,8.64,9.7,11.9,8.15,11.3,11.54,15.15,12.18,7.05,13.17
h_1,3.18,2.39,2.22,2.51,2.21,2.26,17.72,11.83,10.43,10.63,10.85,12.02,12.91,11.09,11.32,21.26
g_1,2.18,2.08,2.41,3.95,2.15,2.37,7.69,21.17,8.69,12.63,17.99,13.47,15.38,13.76,12.93,12.83
d_0,2.33,2.37,4.4,1.49,2.59,2.56,8.99,9.7,16.77,7.78,12.37,11.97,17.38,10.8,12.36,15.83
c_0,3.03,2.47,2.09,2.67,1.63,2.39,8.42,9.49,11.72,19.85,10.76,24.27,19.15,14.98,15.81,21.11
f_0,1.83,2.09,2.9,2.74,2.7,2.58,9.15,8.93,11.95,11.21,20.6,14.19,18.58,26.05,11.93,18.61
b_0,2.66,2.43,2.79,3.01,1.33,1.94,9.14,10.44,12.65,12.25,10.7,21.95,21.96,11.65,27.28,16.19
h_0,3.2,2.23,2.48,2.73,2.51,2.07,7.59,12.39,11.85,11.16,11.38,12.04,14.93,13.09,15.06,23.28
e_0,2.58,1.95,2.33,3.19,2.7,2.6,9.2,10.55,10.52,12.38,14.06,15.42,21.22,27.56,14.07,18.64
a_0,2.68,2.01,2.49,3.11,2.36,1.81,10.32,10.59,13.12,12.24,11.4,12.86,21.81,13.58,27.07,19.03
g_0,2.1,2.09,2.3,3.66,2.54,2.39,8.61,7.18,10.94,12.85,16.65,13.56,18.34,16.13,14.82,11.63
