,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,0.92,0.45,0.34,0.48,0.35,0.23,0.37,0.29,0.6,0.31,0.3,0.29,0.36,0.28,0.21,0.17
f_1,0.68,0.92,0.35,0.39,0.3,0.19,0.37,0.28,0.4,0.3,0.3,0.21,0.31,0.27,0.21,0.15
d_1,0.39,0.47,0.92,0.32,0.34,0.23,0.38,0.35,0.27,0.59,0.4,0.37,0.38,0.31,0.24,0.21
c_1,0.39,0.4,0.38,0.91,0.57,0.27,0.34,0.3,0.36,0.23,0.2,0.26,0.37,0.29,0.21,0.19
b_1,0.4,0.42,0.38,0.4,0.91,0.42,0.36,0.26,0.35,0.36,0.23,0.26,0.37,0.28,0.16,0.23
a_1,0.41,0.45,0.38,0.4,0.36,0.89,0.42,0.34,0.38,0.29,0.29,0.29,0.39,0.32,0.17,0.22
h_1,0.45,0.55,0.42,0.42,0.35,0.24,0.67,0.38,0.35,0.34,0.33,0.34,0.3,0.42,0.24,0.26
g_1,0.45,0.42,0.6,0.38,0.34,0.26,0.38,0.64,0.27,0.37,0.34,0.47,0.39,0.29,0.24,0.27
d_0,0.44,0.48,0.34,0.66,0.39,0.24,0.38,0.3,0.55,0.26,0.31,0.29,0.41,0.32,0.22,0.25
c_0,0.46,0.49,0.46,0.36,0.32,0.24,0.44,0.32,0.41,0.55,0.62,0.33,0.39,0.38,0.3,0.24
b_0,0.49,0.48,0.47,0.43,0.34,0.22,0.42,0.33,0.36,0.34,0.51,0.31,0.4,0.36,0.45,0.24
f_0,0.38,0.4,0.47,0.45,0.38,0.33,0.39,0.35,0.39,0.41,0.36,0.56,0.41,0.4,0.26,0.44
h_0,0.48,0.64,0.43,0.4,0.34,0.24,0.32,0.4,0.37,0.35,0.31,0.31,0.32,0.38,0.22,0.21
g_0,0.43,0.44,0.62,0.44,0.33,0.21,0.4,0.27,0.34,0.36,0.32,0.46,0.4,0.3,0.22,0.23
a_0,0.5,0.49,0.4,0.49,0.35,0.24,0.38,0.29,0.4,0.37,0.36,0.31,0.42,0.32,0.46,0.22
e_0,0.34,0.46,0.47,0.5,0.38,0.27,0.45,0.32,0.38,0.37,0.35,0.35,0.39,0.34,0.25,0.45
