,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,7936.4,2506.68,5204.74,4459.62,8455.86,32252.19,4561491.0,16541114.63,15571913.81,41986946.83,26577460.9,55561266.89,150628683.31,121020761.44,73863666.96,334679801.84
f_1,3778.61,8118.74,3910.64,5293.07,8172.87,28104.5,3740413.21,8566803.84,15149856.8,28070081.61,24182126.88,23784661.73,124716149.06,123798371.66,107643123.83,289460206.33
c_1,1966.12,2120.22,16684.94,5592.77,16115.05,36897.6,4843382.18,8916119.44,5641797.36,20022186.93,23850634.54,42611078.36,125311248.45,84685325.81,164437806.64,326161324.12
d_1,2310.28,2332.4,2576.3,24482.23,7779.49,38363.79,4763164.64,4275833.31,34395369.95,48318572.37,36294771.18,64217484.86,160187435.9,118350181.8,161470781.58,390526387.06
b_1,1768.69,2332.62,4253.57,5710.44,42808.48,78769.63,3971603.92,9762715.29,16087617.85,17044713.37,21882262.31,52956300.55,131807125.63,92269565.94,135610477.7,281833607.48
a_1,1857.62,2512.9,4343.64,5553.48,7703.88,266945.51,4760032.15,9428265.62,22020819.66,38974541.44,28408938.46,57547416.71,198706206.42,57793791.26,169214047.76,319546987.85
h_1,2446.25,3850.49,5156.99,6331.57,9448.98,42291.32,13442645.9,8522101.04,23075862.0,45318573.49,47204040.66,76805764.98,94400757.58,118254557.15,189083256.01,512122471.01
d_0,2794.41,2388.42,9959.13,3251.73,10403.16,39934.92,5497945.1,20402796.79,15444426.38,43533731.89,33939871.07,69653655.27,163312827.66,135810490.89,176250304.72,442482750.07
c_0,3123.41,2946.42,2799.96,7619.95,8370.32,42012.63,5505621.95,11213660.3,43937277.61,83515239.51,42354946.19,75977692.07,195538517.6,170591172.86,180652206.89,397903224.05
b_0,3218.45,3244.88,5033.95,6040.36,4536.41,30240.54,6064252.83,12325859.54,26799774.3,103873389.89,41605698.54,68701359.2,186086865.72,330944452.18,172797588.79,467240229.31
g_1,2531.26,2575.86,4632.11,9720.23,9504.86,39756.0,6583752.01,7870662.23,23007183.84,48944327.45,134571396.4,110116041.0,171418194.3,156892184.74,185430008.09,282968441.68
f_0,1891.55,2017.46,5818.66,8168.87,9066.24,48945.0,6248109.75,11981364.61,23157557.59,49305312.77,52277753.48,183070579.07,228683242.53,141510598.0,445225933.15,506157339.08
h_0,2432.43,3636.0,5174.9,7376.45,8897.62,43588.67,3641793.3,9878429.06,22392886.24,45034255.58,62292303.85,66943927.29,138299968.34,130414158.6,188325892.35,544645847.61
a_0,3083.53,2924.01,5433.21,7179.84,8043.79,22867.91,6340922.72,12879265.47,21082946.65,44674455.35,54058217.65,72075954.11,176166055.93,374096170.36,197432386.8,454077217.86
e_0,1411.66,3292.23,4720.48,10000.1,11033.62,42536.14,5209122.47,9659449.11,22299270.49,42277951.16,52468270.08,74086740.48,221820812.18,144823555.14,503228514.26,448677008.03
g_0,1953.47,2311.93,5394.19,11474.46,10669.49,38656.03,5962180.39,8819497.01,23707402.48,39358501.85,23572701.05,122590913.98,188065471.2,125708644.91,212841400.59,350039502.9
