,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.36,0.78,1.47,0.84,0.7,0.5,1.27,1.19,1.46,1.71,1.55,1.06,2.0,1.34,0.97,1.74
d_1,0.98,2.39,0.75,0.67,0.71,0.64,1.52,1.52,2.97,1.04,2.08,1.72,2.0,1.75,1.59,1.71
e_1,0.94,0.74,2.42,1.02,0.71,0.58,1.5,1.41,1.63,3.07,1.56,1.7,2.36,1.35,1.12,1.97
c_1,0.86,0.74,0.75,2.47,1.42,0.58,1.42,1.17,0.93,1.63,1.21,1.57,2.06,1.4,1.27,1.9
b_1,0.8,0.9,0.75,0.73,2.6,1.34,1.27,1.23,1.31,1.57,0.91,1.64,2.04,1.09,1.45,2.2
a_1,0.96,0.85,0.75,0.87,0.8,3.11,1.75,1.44,1.82,1.47,1.65,1.77,2.46,0.82,1.59,2.07
h_1,1.26,0.96,0.88,1.02,0.62,0.66,3.48,1.98,1.81,1.55,1.93,1.58,1.83,1.61,1.55,2.87
g_1,0.85,1.47,0.7,0.85,0.82,0.67,1.51,3.6,1.91,1.5,1.83,2.69,2.1,1.52,1.86,1.81
c_0,1.12,1.18,0.9,0.77,0.59,0.56,1.56,1.76,3.17,1.89,3.4,2.01,2.71,2.11,1.6,2.25
d_0,0.9,0.66,0.83,1.67,0.85,0.59,1.71,1.52,1.33,2.99,1.98,1.82,2.18,1.7,1.55,1.98
b_0,0.99,1.13,0.93,1.08,0.48,0.51,1.63,1.6,2.09,1.83,3.36,2.01,2.57,3.13,1.57,2.15
f_0,0.78,1.09,0.71,1.06,0.81,0.69,1.57,1.44,2.05,2.14,2.11,3.26,2.57,1.82,3.62,2.4
h_0,1.35,1.13,0.94,0.76,0.76,0.64,1.01,2.16,2.02,1.74,1.77,1.76,1.93,1.38,1.58,2.85
a_0,0.96,1.0,0.98,1.09,0.75,0.48,1.35,1.61,1.88,1.95,1.84,1.94,2.52,3.45,2.01,1.99
e_0,1.07,0.96,0.74,0.86,0.9,0.76,1.76,1.71,2.27,1.86,2.32,1.78,2.58,2.06,3.48,2.2
g_0,0.86,1.5,0.84,0.87,0.68,0.69,1.41,1.23,1.87,1.5,1.94,2.74,2.51,1.44,1.8,1.78
