,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,15.46,0.37,0.55,0.82,0.53,0.47,0.99,2.07,0.76,0.85,1.04,1.07,0.98,1.09,0.7,0.84
d_1,0.49,18.39,0.62,0.43,0.54,0.52,0.9,0.41,0.92,2.17,1.14,1.21,1.0,0.85,1.05,1.28
f_1,1.12,0.54,15.84,0.53,0.56,0.5,0.72,0.83,0.76,0.76,1.0,0.35,1.1,1.05,0.67,0.78
c_1,0.46,0.53,0.58,17.52,1.31,0.52,0.88,0.95,0.79,0.26,0.62,0.81,0.74,0.87,0.87,0.97
b_1,0.5,0.62,0.61,0.47,19.31,1.59,0.83,0.72,0.94,0.85,0.31,0.87,0.92,0.55,0.89,0.78
a_1,0.62,0.61,0.62,0.62,0.46,29.7,0.86,0.65,0.91,0.94,0.79,0.85,0.94,0.4,0.86,0.9
h_1,0.59,0.94,1.22,0.72,0.69,0.65,4.91,0.96,1.41,0.98,1.35,0.91,0.63,1.24,1.11,1.47
d_0,0.73,0.33,0.72,2.18,0.65,0.75,1.25,2.83,1.08,0.67,1.46,0.91,1.24,1.32,1.06,1.17
g_1,0.59,1.46,0.53,0.76,0.57,0.62,1.11,0.91,6.3,1.09,1.09,2.96,0.89,1.02,1.31,0.85
c_0,0.69,1.01,0.85,0.36,0.49,0.74,1.17,1.35,1.16,3.4,3.41,1.34,1.73,1.31,1.47,1.34
b_0,0.84,0.87,0.84,0.84,0.34,0.47,1.3,1.26,1.18,1.13,3.49,1.32,1.58,3.23,1.29,1.19
f_0,0.67,1.0,0.39,0.75,0.69,0.71,1.33,1.16,1.5,1.41,1.41,3.99,1.12,1.47,3.54,1.31
h_0,0.68,1.02,1.01,0.92,0.52,0.7,0.65,1.08,1.57,1.11,1.0,1.07,0.74,1.27,1.14,1.97
a_0,0.75,0.95,0.72,0.88,0.83,0.24,1.24,1.15,1.5,1.06,1.06,1.29,1.64,3.93,1.33,0.96
e_0,0.37,0.95,0.84,0.78,0.68,0.54,1.42,1.6,1.26,1.39,1.5,1.22,1.83,1.59,5.2,1.96
g_0,0.5,1.75,0.68,0.6,0.59,0.63,1.12,1.05,0.71,1.51,1.32,1.79,1.24,1.26,1.43,0.72
