,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.0,1.31,0.95,0.95,0.82,0.75,0.58,0.65,0.67,0.61,0.62,0.68,0.46,0.51,0.46,0.57
e_1,0.76,1.0,0.98,0.98,0.95,0.78,0.69,0.73,0.93,0.66,0.73,0.71,0.63,0.59,0.69,0.54
d_1,1.06,1.02,1.0,0.95,0.85,0.76,0.72,0.61,0.8,0.84,0.63,0.55,0.61,0.53,0.64,0.42
c_1,1.05,1.02,1.05,1.0,1.38,0.81,0.69,0.75,0.46,0.43,0.69,0.53,0.58,0.59,0.56,0.57
b_1,1.21,1.05,1.17,0.73,1.0,1.28,0.85,0.75,0.77,0.62,0.59,0.69,0.71,0.46,0.61,0.51
a_1,1.33,1.27,1.31,1.23,0.78,1.0,0.88,0.67,0.58,0.89,0.8,0.83,0.82,0.71,0.72,0.65
h_1,1.69,1.44,1.44,1.48,1.11,1.19,1.0,1.1,0.96,0.77,0.78,0.87,0.8,0.86,0.76,0.85
g_1,1.59,1.33,1.63,1.34,1.32,1.41,0.91,1.0,0.87,0.95,1.05,0.89,0.69,1.12,0.91,0.67
d_0,1.62,1.08,1.21,2.25,1.22,1.73,1.07,1.18,1.0,0.96,1.0,0.89,0.78,0.98,0.66,1.09
c_0,1.7,1.41,1.21,2.59,1.71,1.02,1.32,1.08,0.98,1.0,0.86,1.54,0.94,1.2,0.96,0.93
f_0,1.6,1.39,1.68,1.6,1.66,1.3,1.33,0.94,0.96,1.15,1.0,0.88,1.14,0.79,1.27,0.95
b_0,1.5,1.35,1.68,2.03,1.54,1.22,1.14,1.06,1.04,0.67,1.12,1.0,0.97,1.54,0.9,0.93
h_0,2.28,1.55,1.61,1.8,1.38,1.28,1.23,1.47,1.26,1.04,0.86,1.05,1.0,0.92,0.85,1.29
a_0,1.77,1.59,1.84,1.74,2.46,,1.15,0.89,1.01,0.85,1.22,0.7,1.02,1.0,1.13,1.19
e_0,2.08,1.61,1.5,1.68,1.62,1.58,1.36,1.1,1.48,1.07,0.82,1.17,1.31,0.89,1.0,0.79
g_0,1.69,1.78,2.27,1.8,1.85,1.55,1.21,1.52,0.98,1.09,1.08,1.12,0.79,0.9,1.29,
