,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,90.49,77.85,77.75,85.31,96.67,256.26,7388.12,17992.76,18457.32,19484.78,28967.83,23060.64,73097.61,88927.88,122564.34,155038.11
e_1,41.13,106.42,67.74,82.97,92.56,344.88,8870.27,27552.64,16814.18,15972.79,34310.04,47705.98,91884.66,85786.54,111981.27,183579.02
d_1,37.08,46.05,153.29,57.38,84.95,227.47,6413.02,9880.46,27035.03,12719.08,24425.54,44467.18,70408.12,92592.87,117540.07,137330.15
c_1,33.76,39.46,72.11,153.74,124.83,266.74,6230.34,11570.35,7557.64,13645.26,18363.6,34644.87,63179.75,76203.51,119970.56,133741.19
b_1,30.82,40.98,53.0,57.24,176.82,458.95,8101.18,14730.54,14444.79,14468.68,17692.83,41029.21,68199.39,50840.38,106141.92,153280.05
a_1,24.45,25.88,54.26,44.1,35.16,494.78,4483.45,9347.51,9024.71,11822.0,13324.49,25196.93,40413.57,28805.69,83813.72,78568.46
h_1,13.86,9.66,21.64,20.51,19.03,70.58,3411.48,3928.09,4231.56,5403.4,6903.96,9360.95,12858.87,23946.26,32798.72,49778.38
d_0,8.7,7.18,11.56,28.05,18.06,62.46,1908.57,5049.81,3280.69,3796.52,4951.78,9197.58,16844.26,18242.18,28679.43,33191.36
c_0,9.69,10.86,13.31,15.73,13.76,66.2,1715.3,3132.56,5439.88,3768.86,9412.02,8466.47,16868.98,21965.53,30597.57,33510.7
g_1,6.78,9.36,22.29,17.31,15.91,42.57,1320.29,3241.54,3101.77,6368.28,5834.43,12845.79,13911.7,13600.13,27509.91,22665.88
b_0,8.26,7.12,16.04,17.03,8.32,49.46,1475.15,3591.36,2646.74,2780.19,7408.99,6647.91,13538.18,27905.7,23225.32,25789.71
f_0,5.83,5.14,13.71,14.57,13.07,41.67,1574.45,2488.32,3356.88,2295.76,4785.62,10911.32,12088.21,14735.05,38283.46,25471.13
h_0,7.36,5.96,10.89,9.72,11.25,50.8,700.12,2060.85,2122.75,2815.05,3726.69,5653.68,7680.58,8893.97,16517.23,26744.08
a_0,5.72,5.61,9.35,10.02,11.27,18.27,1107.98,1959.59,2394.39,2337.54,3123.77,4774.27,10556.53,18343.67,14352.13,20317.32
e_0,4.41,3.52,8.71,8.99,9.73,34.87,1066.56,1752.49,2042.18,1672.31,3217.96,3416.53,8652.51,9444.77,24973.77,19741.3
g_0,4.43,3.94,12.3,8.04,7.46,36.93,772.29,1428.69,1980.8,1496.65,3616.78,5869.93,7406.74,8998.9,15205.16,14056.55
