,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,0.42,2.45,3.65,4.01,3.46,3.66,1.85,1.99,2.21,1.33,1.52,1.81,1.7,1.32,,1.34
f_1,3.64,0.4,4.13,3.71,3.55,3.64,1.51,1.9,1.78,1.8,1.67,,1.4,0.95,1.37,1.4
c_1,3.87,2.98,0.39,3.82,3.67,3.21,2.85,1.82,0.98,1.9,,1.95,1.56,1.25,1.54,1.44
d_1,3.77,3.71,3.38,0.39,5.0,3.84,1.6,1.41,,1.66,2.44,1.47,,1.26,2.07,0.77
b_1,3.56,3.45,2.6,3.16,0.37,4.41,1.67,2.64,1.44,,2.05,1.11,1.95,1.24,1.65,2.17
a_1,2.93,4.01,4.23,3.36,2.48,0.33,2.18,1.95,1.73,1.98,1.73,1.92,,1.37,,1.17
h_1,2.09,2.1,1.51,1.77,1.96,1.41,0.26,1.01,0.99,0.61,0.68,0.86,0.93,,0.81,0.84
g_1,1.79,1.97,1.82,1.82,1.85,1.84,0.76,0.24,0.78,1.17,0.82,0.9,,0.58,0.86,
d_0,0.98,1.46,1.74,,1.81,1.46,0.88,1.01,0.28,1.05,0.58,0.67,0.62,0.63,1.11,0.72
b_0,2.06,1.54,1.76,1.24,,1.76,1.07,0.74,0.56,0.28,0.52,0.79,1.08,0.65,0.61,0.56
c_0,1.75,1.38,,0.86,1.29,1.73,1.05,0.85,0.88,0.75,0.28,0.76,0.64,0.64,1.02,0.6
f_0,1.97,,1.23,1.86,2.17,1.52,0.86,0.56,0.88,0.64,0.83,0.25,0.75,0.78,0.63,0.47
a_0,1.56,2.56,1.72,,1.7,,0.8,,0.9,0.39,0.64,0.8,0.23,0.57,,0.48
h_0,1.78,1.33,1.33,1.64,1.24,1.25,,0.69,0.49,0.62,0.51,0.61,0.49,,0.41,0.48
e_0,,2.4,1.95,1.24,1.76,,0.62,0.81,0.64,0.69,0.53,0.54,,0.74,0.22,0.66
g_0,1.08,1.96,1.28,2.41,0.87,1.45,0.51,,0.62,0.6,0.69,0.55,0.58,0.42,0.61,
