,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.65,1.52,1.44,1.15,1.22,1.18,0.58,0.86,0.53,0.4,0.49,0.4,0.39,0.43,0.43,0.25
f_1,1.12,0.65,1.45,1.43,1.24,0.98,0.46,0.54,0.48,0.64,0.47,0.66,0.32,0.42,0.38,0.39
e_1,1.41,0.86,0.65,1.5,1.47,1.29,0.64,0.65,0.5,0.75,0.52,0.56,0.46,0.49,0.55,0.51
c_1,1.79,1.28,1.16,0.64,1.46,1.1,0.6,0.31,0.61,0.59,0.43,0.44,0.4,0.47,0.5,0.42
b_1,1.54,1.67,1.37,0.89,0.62,2.06,0.67,0.54,0.58,0.57,0.9,0.48,0.42,0.51,0.45,0.39
a_1,1.55,1.89,1.65,2.1,0.87,0.58,0.72,0.53,0.58,0.76,0.7,0.77,0.46,0.88,0.63,0.49
h_1,1.84,2.06,2.17,2.0,1.87,1.76,0.57,0.74,0.66,0.96,0.67,0.71,0.74,0.61,0.67,0.69
d_0,2.85,2.01,1.25,2.64,2.03,2.14,1.13,0.61,0.8,1.12,0.88,0.97,0.73,0.76,0.79,0.85
c_0,1.41,2.23,2.26,2.98,2.31,2.07,1.05,1.02,0.61,1.05,0.85,0.73,0.65,0.76,0.68,0.68
g_1,2.37,2.11,2.03,2.35,2.24,1.94,0.87,0.79,0.78,0.55,0.78,0.84,0.48,0.68,0.72,0.74
b_0,1.96,2.43,2.32,3.21,2.59,1.88,1.1,0.77,0.55,0.94,0.57,0.74,0.65,0.86,0.88,0.63
f_0,2.33,3.08,2.29,2.41,2.42,1.91,1.04,0.93,0.8,0.73,0.84,0.57,0.72,0.85,0.96,0.48
h_0,2.51,2.69,2.3,2.47,2.57,2.13,1.39,0.91,0.89,1.16,0.83,0.9,0.95,0.8,0.74,0.81
a_0,2.24,2.95,2.59,2.62,3.57,3.27,1.32,0.88,0.79,1.51,0.61,0.9,0.76,0.56,0.86,0.78
e_0,2.5,3.7,3.35,2.54,2.82,2.59,1.07,1.12,1.04,1.06,0.98,0.55,0.8,0.82,0.56,0.69
g_0,3.19,3.1,2.39,2.82,2.98,2.58,1.05,0.9,1.0,1.38,0.95,1.14,0.63,0.99,0.79,0.88
