,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,5.56,0.16,0.07,0.08,0.08,0.05,0.33,0.22,0.34,0.39,0.42,,0.71,0.27,0.33,0.38
e_1,0.08,5.66,0.07,0.08,0.07,0.09,0.27,0.21,0.72,0.4,0.36,0.29,0.62,0.44,,0.55
d_1,0.08,0.07,6.35,0.07,0.07,0.08,0.33,0.21,,0.73,0.39,0.37,0.66,0.34,0.44,0.6
c_1,0.07,0.06,0.08,6.47,0.15,0.07,0.27,0.41,0.46,,0.29,0.3,0.76,0.35,0.4,0.52
b_1,0.07,0.09,0.08,0.08,7.26,0.14,0.38,0.25,0.43,0.37,,0.34,0.52,0.41,0.43,0.45
a_1,0.09,0.07,0.08,0.08,0.07,11.14,0.3,0.27,0.39,0.35,0.41,0.36,0.53,,0.4,0.53
h_1,0.4,0.32,0.26,0.25,0.24,0.3,14.18,1.51,1.44,1.88,1.18,1.9,,1.18,1.45,2.32
g_1,0.23,0.13,0.46,0.25,0.45,,1.12,18.24,0.95,1.82,1.45,2.73,2.1,1.23,1.34,
d_0,0.46,0.37,,0.69,0.4,0.37,1.44,1.46,12.35,1.37,1.71,2.24,2.2,2.39,1.46,3.94
c_0,0.4,0.38,0.38,,0.22,0.39,1.6,1.76,1.84,12.24,3.92,1.49,3.65,2.01,2.3,2.92
b_0,0.28,0.38,0.5,0.36,,0.38,1.18,1.7,1.59,1.61,13.97,2.02,3.21,4.97,1.47,2.13
f_0,,0.28,0.36,0.57,0.41,,1.78,1.33,2.31,2.27,1.61,15.93,3.13,1.51,3.17,3.97
h_0,0.83,0.53,0.62,0.55,0.64,0.83,,2.68,2.97,2.05,2.38,3.24,,1.86,2.66,6.77
a_0,0.45,0.44,0.36,0.37,0.52,,1.92,,2.11,1.71,1.86,,2.72,19.27,2.47,2.94
e_0,0.33,,0.31,0.36,0.36,0.4,1.53,1.76,1.46,3.07,1.92,2.48,3.28,,23.11,2.78
g_0,0.63,0.57,0.85,0.49,0.37,,2.05,,2.9,3.04,3.26,4.58,3.99,2.35,2.78,
