,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.89,0.22,0.14,0.22,0.13,0.09,0.19,0.15,0.14,0.3,0.17,0.13,0.12,0.17,0.04,0.13
f_1,0.33,0.89,0.16,0.17,0.13,0.11,0.16,0.11,0.17,0.16,0.13,0.06,0.12,0.14,0.07,0.11
d_1,0.16,0.21,0.89,0.14,0.18,0.1,0.2,0.14,0.32,0.06,0.19,0.14,0.1,0.14,0.1,0.15
c_1,0.17,0.14,0.19,0.89,0.32,0.1,0.16,0.1,0.04,0.15,0.1,0.15,0.08,0.13,0.1,0.12
b_1,0.17,0.21,0.19,0.15,0.88,0.2,0.16,0.12,0.15,0.14,0.08,0.13,0.09,0.16,0.12,0.13
a_1,0.19,0.17,0.21,0.2,0.15,0.87,0.2,0.15,0.14,0.16,0.15,0.15,0.04,0.15,0.09,0.14
h_1,0.19,0.3,0.25,0.26,0.19,0.12,0.57,0.21,0.18,0.17,0.2,0.15,0.13,0.09,0.1,0.22
g_1,0.18,0.18,0.34,0.27,0.18,0.09,0.24,0.56,0.19,0.16,0.18,0.28,0.13,0.17,0.13,0.09
c_0,0.23,0.27,0.26,0.13,0.18,0.1,0.22,0.19,0.42,0.17,0.37,0.2,0.18,0.22,0.12,0.19
d_0,0.25,0.26,0.1,0.41,0.19,0.13,0.22,0.14,0.13,0.41,0.16,0.16,0.09,0.16,0.1,0.14
b_0,0.19,0.3,0.24,0.23,0.08,0.09,0.21,0.16,0.27,0.18,0.45,0.19,0.32,0.25,0.13,0.17
f_0,0.2,0.13,0.26,0.25,0.23,0.13,0.25,0.17,0.21,0.18,0.21,0.43,0.12,0.2,0.28,0.17
a_0,0.25,0.23,0.23,0.28,0.16,0.07,0.21,0.16,0.19,0.23,0.19,0.17,0.4,0.21,0.11,0.21
h_0,0.23,0.35,0.25,0.2,0.18,0.1,0.14,0.22,0.21,0.21,0.17,0.13,0.12,0.1,0.12,0.21
e_0,0.13,0.23,0.28,0.22,0.25,0.14,0.21,0.18,0.26,0.2,0.21,0.19,0.14,0.22,0.37,0.21
g_0,0.17,0.2,0.36,0.22,0.2,0.12,0.2,0.12,0.21,0.17,0.18,0.29,0.1,0.19,0.18,0.12
