,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.67,2.18,1.95,1.89,2.01,2.37,0.77,0.71,0.81,0.66,0.65,1.32,0.44,0.69,0.66,0.61
e_1,1.36,0.66,2.11,2.55,2.17,1.67,0.97,0.79,0.89,0.98,0.72,1.0,0.64,0.8,0.63,1.39
d_1,2.39,2.5,0.66,1.91,1.86,1.79,0.9,0.9,0.68,1.66,0.94,0.72,0.61,0.54,0.44,0.7
c_1,2.38,1.89,2.22,0.65,2.14,1.8,1.1,1.2,0.85,0.52,0.72,0.66,0.6,0.68,0.71,0.66
b_1,2.53,2.44,2.14,1.47,0.62,2.73,1.1,0.99,0.97,0.87,1.94,0.79,0.86,0.84,0.6,0.66
a_1,2.3,3.76,3.32,2.64,1.57,0.56,1.06,1.19,1.45,1.31,1.05,0.93,0.85,1.92,0.82,0.85
h_1,3.04,2.45,2.45,2.35,2.5,2.31,0.61,0.87,1.5,0.85,1.17,0.87,1.71,0.91,0.83,0.9
c_0,3.38,2.62,1.71,6.1,2.84,2.41,1.48,0.66,1.53,1.4,1.27,0.99,0.88,1.1,0.82,0.83
g_1,3.15,2.87,3.45,3.37,2.96,2.15,1.0,0.8,0.56,0.91,0.91,1.02,0.63,1.07,1.06,1.08
d_0,3.62,1.73,5.17,3.63,2.89,2.34,1.49,0.92,1.77,0.66,1.16,0.99,0.84,0.97,0.92,0.91
b_0,3.01,3.06,3.22,4.04,5.74,2.51,1.2,0.64,1.45,1.03,0.62,1.08,0.92,1.71,0.99,1.14
f_0,6.11,2.68,3.24,3.32,3.0,2.97,1.48,1.02,1.02,1.13,0.89,0.61,0.91,1.16,0.58,1.07
h_0,3.72,2.94,3.53,3.29,3.24,2.84,2.28,1.19,2.0,1.36,1.24,1.22,1.55,1.01,1.05,1.05
a_0,3.84,2.96,4.16,4.15,3.27,,1.79,1.23,1.6,1.15,0.65,1.06,1.26,0.6,1.11,1.54
g_0,3.37,3.41,4.09,3.36,4.27,3.28,1.22,1.45,3.15,1.12,1.2,1.58,0.95,1.18,1.57,1.26
e_0,5.35,4.41,3.19,4.07,4.2,3.38,1.63,1.3,1.47,1.2,1.27,0.76,1.29,1.09,1.04,0.59
