,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.01,0.12,0.09,0.09,0.09,0.14,0.15,0.18,0.38,0.17,,0.23,0.28,0.25,0.29,0.39
e_1,0.05,0.01,0.07,0.14,0.14,0.17,0.16,0.23,0.25,0.23,0.27,0.25,0.25,0.3,,0.39
d_1,0.07,0.07,0.01,0.08,0.08,0.12,0.12,,0.11,0.3,0.16,0.15,0.23,0.19,0.27,0.17
c_1,0.05,0.05,0.06,0.01,0.09,0.11,0.13,0.09,0.17,,0.14,0.15,0.31,0.17,0.24,0.28
b_1,0.05,0.03,0.06,0.03,0.01,0.09,0.08,0.13,0.14,0.12,0.15,,0.17,0.13,0.16,0.19
a_1,0.01,0.01,0.01,0.02,0.01,,0.03,0.04,0.03,0.04,0.03,0.05,,0.04,0.04,0.05
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
