,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,0.98,1.59,1.57,2.4,1.54,0.52,0.35,0.37,0.56,0.33,0.42,0.29,0.4,2.7,0.29
f_1,1.68,0.17,1.57,2.23,1.47,1.37,0.3,0.31,0.29,0.59,0.35,1.49,0.18,0.28,0.34,0.34
d_1,2.33,1.95,0.15,1.57,1.85,1.8,0.4,1.57,0.29,0.24,0.3,0.32,0.25,0.37,0.29,0.15
c_1,1.41,1.64,2.64,0.14,1.49,1.66,0.51,0.17,1.54,0.53,0.39,0.28,0.26,0.28,0.39,0.24
b_1,1.49,2.3,1.54,0.79,0.13,2.39,0.49,0.34,0.42,0.63,2.43,0.39,0.25,0.62,0.3,0.2
a_1,2.03,1.9,1.63,1.89,0.95,0.1,0.67,0.39,0.3,0.46,0.31,0.3,0.24,2.6,0.32,0.4
h_1,1.02,0.76,0.96,1.21,1.04,0.77,0.07,0.25,0.19,0.28,0.19,0.18,0.35,0.14,0.19,0.16
d_0,0.49,1.08,4.18,1.0,0.8,0.78,0.36,0.08,0.26,0.35,0.17,0.21,0.12,0.2,0.18,0.15
c_0,0.9,0.84,0.46,6.16,1.04,1.11,0.29,0.26,0.07,0.3,0.19,0.18,0.11,0.18,0.17,0.13
g_1,0.89,1.16,0.83,1.15,0.75,1.44,0.21,0.24,0.18,0.05,0.21,0.15,0.09,0.14,0.14,0.31
b_0,0.88,0.8,0.99,0.99,2.06,0.92,0.24,0.21,0.11,0.3,0.07,0.15,0.14,0.21,0.15,0.13
f_0,0.82,3.19,0.82,0.98,0.91,0.97,0.28,0.18,0.2,0.17,0.16,0.06,0.11,0.14,0.13,0.07
h_0,0.74,1.02,0.93,0.98,0.92,0.93,0.72,0.19,0.18,0.29,0.19,0.16,0.33,0.17,0.14,0.14
a_0,0.77,0.87,0.87,1.14,1.07,,0.25,0.21,0.2,0.33,0.1,0.18,0.15,0.04,0.18,0.11
e_0,,1.27,1.03,0.75,0.73,0.65,0.33,0.2,0.19,0.19,0.17,0.08,0.1,0.18,0.04,0.14
g_0,1.07,0.79,0.95,1.05,0.98,0.89,0.22,0.23,0.19,0.8,0.18,0.16,0.11,0.15,0.18,0.24
