,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,36.47,0.12,0.06,0.07,0.06,0.06,0.23,0.41,0.34,0.37,,0.39,0.3,0.55,0.32,0.7
e_1,0.05,36.39,0.06,0.06,0.09,0.07,0.26,0.65,0.28,0.41,0.33,0.34,0.37,0.74,,0.48
d_1,0.06,0.09,40.56,0.07,0.05,0.07,0.2,,0.25,0.81,0.37,0.41,0.35,0.48,0.41,0.65
c_1,0.07,0.04,0.05,42.44,0.14,0.06,0.35,0.52,0.2,,0.37,0.32,0.36,0.59,0.48,0.59
b_1,0.08,0.05,0.06,0.06,47.39,0.16,0.27,0.37,0.25,0.3,0.5,,0.38,0.57,0.51,0.5
a_1,0.08,0.06,0.06,0.06,0.07,75.72,0.32,0.39,0.28,0.37,0.29,0.45,,0.45,0.39,0.49
h_1,0.29,0.29,0.27,0.25,0.31,0.23,26.15,1.58,1.34,1.62,1.03,1.39,1.32,,1.13,3.57
d_0,0.44,0.34,,0.7,0.25,0.27,1.77,16.55,1.34,2.19,2.28,1.32,2.16,3.06,2.6,2.8
g_1,0.14,0.23,0.48,0.22,0.21,0.35,1.13,1.46,35.7,1.17,1.54,1.83,1.6,2.8,1.05,
c_0,0.47,0.32,0.19,,0.29,0.24,1.91,1.33,1.72,18.21,2.55,3.73,2.48,3.98,1.49,2.71
f_0,,0.28,0.41,0.44,0.29,0.34,1.7,2.22,1.68,2.11,19.86,2.16,1.89,3.44,3.5,2.67
b_0,0.38,0.32,0.47,0.39,,0.24,1.82,2.02,0.93,1.83,1.66,21.66,4.68,2.27,1.48,2.68
a_0,0.41,0.53,0.41,0.22,0.35,,1.55,1.98,1.91,1.57,2.49,1.45,26.62,2.89,1.76,2.63
h_0,0.62,0.53,0.6,0.64,0.58,0.59,,2.82,3.18,3.08,3.0,2.65,,,3.48,5.94
e_0,0.42,,0.34,0.38,0.44,0.44,1.66,2.13,1.25,2.14,2.93,1.6,,2.96,29.84,
g_0,0.46,0.4,0.98,0.4,0.44,0.44,2.32,2.75,,2.01,5.47,3.46,2.85,6.02,2.51,
