,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.01,1.29,0.69,0.81,0.62,0.59,0.88,0.83,0.8,0.86,0.91,0.59,0.91,0.91,0.71,0.88
e_1,0.8,2.03,0.68,0.85,0.74,0.64,1.07,0.9,1.56,0.92,1.06,1.01,1.05,1.02,0.72,1.02
d_1,0.72,0.74,2.26,0.61,0.68,0.74,0.95,1.11,0.62,1.75,1.2,1.08,1.12,1.02,1.09,1.1
c_1,0.79,0.72,0.73,2.27,1.41,0.69,0.77,0.76,0.83,0.52,0.54,0.87,0.91,0.81,0.78,0.84
b_1,0.78,0.61,0.74,0.77,2.62,1.53,1.06,0.82,0.97,0.82,0.66,0.99,0.81,0.68,0.93,0.96
a_1,0.87,0.76,0.77,0.78,0.65,3.65,1.08,0.97,0.98,0.92,0.93,0.97,0.91,0.75,1.11,0.85
h_1,1.18,0.74,0.94,0.75,0.69,0.76,1.96,1.47,1.04,0.9,1.09,1.04,0.85,0.89,1.14,1.31
g_1,0.77,0.66,1.31,0.83,0.68,0.76,0.89,2.36,0.85,1.09,1.11,1.5,1.13,1.05,1.07,0.89
d_0,0.86,0.73,0.59,1.57,0.92,0.7,0.97,0.97,1.63,0.67,1.07,1.06,1.07,1.1,1.21,1.09
c_0,0.87,0.74,1.05,0.63,0.6,0.65,1.08,1.37,1.15,1.81,2.29,1.19,1.33,1.53,1.27,1.25
b_0,0.92,0.83,0.95,0.91,0.5,0.53,1.09,1.14,1.12,1.1,1.97,1.2,1.21,2.48,1.37,1.12
f_0,0.65,0.57,1.03,0.97,0.86,0.76,1.12,1.04,1.19,1.09,1.22,2.08,1.25,1.25,2.45,1.22
h_0,1.06,0.81,1.04,0.83,0.71,0.69,0.74,1.28,1.03,1.01,1.09,0.93,0.84,1.2,1.07,1.32
a_0,0.91,0.83,1.04,0.95,0.8,0.47,1.02,1.11,1.03,0.98,1.11,1.32,1.36,2.24,1.4,1.26
e_0,0.92,0.63,0.93,0.89,0.77,0.8,0.96,1.14,1.05,1.22,1.13,1.12,1.37,1.28,2.67,1.26
g_0,0.72,0.7,1.4,0.9,0.74,0.73,0.97,0.93,0.93,1.04,1.1,1.8,1.01,1.13,1.3,0.8
