,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.91,0.33,0.3,0.23,0.25,0.18,0.29,0.27,0.53,0.36,0.18,0.25,0.31,0.21,0.19,0.26
f_1,0.3,0.91,0.56,0.26,0.23,0.2,0.29,0.2,0.24,0.26,0.27,0.13,0.23,0.18,0.13,0.18
e_1,0.26,0.35,0.9,0.38,0.26,0.18,0.27,0.23,0.27,0.26,0.5,0.23,0.3,0.17,0.12,0.21
c_1,0.33,0.3,0.27,0.9,0.51,0.2,0.27,0.24,0.17,0.19,0.26,0.27,0.26,0.18,0.17,0.21
b_1,0.33,0.34,0.3,0.27,0.89,0.38,0.27,0.21,0.26,0.19,0.18,0.22,0.29,0.16,0.18,0.23
a_1,0.33,0.34,0.33,0.32,0.21,0.89,0.31,0.26,0.31,0.33,0.29,0.2,0.34,0.17,0.22,0.22
h_1,0.4,0.48,0.31,0.3,0.27,0.21,0.61,0.34,0.29,0.29,0.24,0.25,0.21,0.21,0.19,0.34
g_1,0.55,0.34,0.27,0.29,0.25,0.2,0.29,0.61,0.36,0.28,0.24,0.41,0.35,0.2,0.25,0.19
c_0,0.4,0.37,0.33,0.28,0.21,0.21,0.32,0.27,0.53,0.6,0.3,0.3,0.38,0.3,0.22,0.29
b_0,0.37,0.39,0.35,0.37,0.21,0.16,0.38,0.28,0.31,0.51,0.33,0.3,0.38,0.4,0.23,0.27
d_0,0.19,0.3,0.35,0.65,0.31,0.17,0.34,0.27,0.24,0.27,0.49,0.3,0.31,0.19,0.21,0.24
f_0,0.4,0.3,0.26,0.38,0.3,0.2,0.31,0.3,0.34,0.37,0.3,0.48,0.38,0.22,0.45,0.28
h_0,0.44,0.42,0.31,0.34,0.26,0.19,0.27,0.39,0.31,0.33,0.3,0.29,0.26,0.21,0.26,0.34
a_0,0.43,0.37,0.33,0.36,0.29,0.15,0.35,0.27,0.31,0.33,0.3,0.32,0.39,0.46,0.2,0.31
e_0,0.4,0.39,0.2,0.4,0.33,0.19,0.31,0.32,0.32,0.36,0.23,0.27,0.42,0.27,0.48,0.34
g_0,0.54,0.32,0.29,0.35,0.3,0.21,0.31,0.2,0.31,0.3,0.24,0.41,0.3,0.18,0.22,0.19
