,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.45,2.41,4.19,4.93,4.4,4.77,1.6,0.93,1.25,0.9,1.0,0.95,0.77,0.85,0.65,4.01
f_1,3.99,0.43,4.69,3.76,5.17,4.83,0.94,0.99,1.39,0.89,2.08,0.81,0.39,0.77,0.77,0.78
c_1,3.87,4.73,0.42,5.84,4.93,4.21,1.23,0.49,1.17,2.77,0.81,1.01,0.82,1.08,0.89,0.92
d_1,6.0,4.84,4.63,0.41,5.02,3.73,1.1,3.87,0.84,0.84,0.87,1.06,0.62,0.91,0.41,0.91
b_1,5.52,5.25,2.62,5.42,0.4,4.4,1.52,1.1,1.52,1.03,1.33,3.91,0.66,1.46,0.56,0.87
a_1,6.5,5.11,6.53,6.53,2.5,0.34,1.78,1.38,1.26,1.62,1.35,2.07,0.98,4.83,1.16,2.21
h_1,4.94,5.22,5.69,4.7,4.62,5.1,0.36,0.93,1.54,0.85,0.75,0.8,1.62,0.81,0.83,0.73
d_0,2.67,6.47,5.53,12.65,6.86,6.41,1.39,0.44,1.81,1.22,0.97,0.91,0.84,0.91,0.83,0.88
g_1,5.02,8.21,6.59,5.17,5.1,5.47,1.22,1.53,0.33,1.22,0.91,1.17,0.64,1.4,1.89,1.06
c_0,5.92,5.37,21.1,2.94,6.88,5.89,1.65,1.64,2.29,0.42,1.16,0.98,0.79,1.28,0.83,0.87
f_0,5.83,21.31,5.55,5.3,5.22,5.16,1.62,1.34,1.21,1.09,0.43,1.2,0.93,0.94,0.57,1.12
b_0,6.05,6.48,7.28,4.56,18.54,6.1,1.7,1.52,2.18,0.59,1.02,0.38,0.78,1.1,0.74,1.11
h_0,7.27,8.28,6.06,5.51,6.36,7.33,6.1,1.84,2.08,1.47,1.29,1.29,2.58,1.28,1.17,1.22
a_0,5.87,8.07,7.21,8.31,8.74,23.79,2.32,1.16,2.1,1.6,1.13,0.67,0.92,0.34,0.86,1.0
g_0,6.6,10.27,7.65,5.93,9.36,7.66,1.95,2.01,7.39,1.49,1.42,1.61,0.87,1.82,2.65,1.24
e_0,21.41,9.94,7.87,7.04,8.38,5.83,1.85,1.45,2.91,1.75,0.71,1.42,1.39,1.38,0.71,0.34
