,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.68,1.36,2.0,2.41,1.85,2.04,0.99,0.89,0.97,0.73,0.59,0.64,0.59,2.12,0.69,0.7
f_1,2.38,0.67,2.02,2.12,2.2,1.61,0.68,0.72,0.96,0.64,0.68,1.04,0.46,0.53,0.61,0.6
d_1,2.51,2.35,0.65,1.9,2.14,1.73,0.92,1.91,0.63,0.77,0.74,0.81,0.58,0.78,0.67,0.39
c_1,1.85,2.15,2.61,0.64,2.62,2.18,0.93,0.43,0.98,1.27,0.89,0.92,0.67,0.62,0.69,0.52
b_1,2.27,2.14,2.26,1.41,0.63,3.04,0.92,0.85,0.99,0.88,2.18,0.86,0.94,0.73,1.03,0.59
a_1,2.7,2.92,3.14,2.31,1.42,0.57,1.28,1.25,1.13,1.29,1.25,0.83,0.93,1.15,,1.23
h_1,2.71,3.11,2.55,2.62,2.72,2.25,0.59,1.15,1.52,0.9,0.93,0.81,1.1,0.74,0.84,0.77
d_0,1.7,3.36,3.91,4.26,2.89,2.36,1.26,0.67,1.45,1.26,1.09,1.02,0.74,0.83,1.02,0.79
g_1,2.81,3.3,3.12,2.86,2.73,3.0,1.03,1.07,0.56,1.04,1.06,1.0,0.69,1.05,0.84,1.14
c_0,3.48,3.47,1.79,6.93,3.79,1.89,1.56,1.16,1.3,0.65,1.24,1.02,0.84,0.97,1.05,0.84
b_0,3.16,3.04,2.52,3.3,5.95,2.41,1.39,1.22,1.54,0.74,0.64,0.99,0.91,1.04,1.07,1.06
f_0,3.23,7.03,2.58,3.0,2.74,3.09,1.78,1.04,1.02,1.25,1.22,0.63,1.03,1.1,1.18,0.73
h_0,3.34,3.92,3.34,3.44,2.7,3.11,3.24,1.42,1.66,1.22,1.31,1.23,1.45,1.25,0.97,1.19
e_0,4.16,4.58,3.11,5.13,3.61,2.89,2.06,1.49,1.33,1.29,1.09,0.77,0.99,0.58,0.98,0.97
a_0,3.26,3.81,3.78,3.98,4.12,,2.01,1.37,1.39,1.23,0.76,1.5,1.24,1.42,0.58,1.33
g_0,3.48,4.45,4.46,3.75,3.64,2.77,1.71,1.57,,1.3,1.42,1.38,0.85,1.23,1.23,1.75
