,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.67,0.87,1.18,1.37,1.47,1.12,0.55,0.6,0.62,0.45,0.5,0.62,0.4,0.37,0.73,0.4
f_1,1.37,0.66,1.28,1.32,1.16,1.03,0.43,0.48,0.66,0.43,0.38,0.61,0.5,0.29,0.4,0.4
d_1,1.59,1.34,0.64,1.29,1.12,1.33,0.62,0.72,0.43,0.53,0.54,0.4,0.48,0.37,0.41,0.28
c_1,1.17,1.44,1.64,0.64,1.46,1.09,0.67,0.31,0.55,0.56,0.44,0.43,0.43,0.41,0.43,0.4
b_1,1.36,1.7,1.61,0.91,0.62,1.56,0.67,0.55,0.67,0.68,0.72,0.53,0.49,0.46,0.49,0.35
a_1,1.73,2.02,1.72,1.65,0.98,0.56,0.86,0.61,0.85,0.68,0.73,0.59,0.79,0.55,0.48,0.58
h_1,2.01,2.24,1.87,1.92,2.06,1.58,0.57,0.74,0.81,0.67,0.62,0.6,0.63,0.75,0.59,0.6
d_0,1.33,2.3,2.98,2.82,2.26,2.41,1.08,0.61,1.05,0.69,0.76,0.71,0.84,0.71,0.81,0.7
g_1,1.94,2.01,2.28,2.5,2.27,2.0,0.96,0.75,0.54,0.8,0.67,0.87,0.87,0.5,0.73,0.82
c_0,2.39,2.32,1.43,3.78,2.17,1.95,1.18,1.12,0.9,0.6,1.02,0.79,0.91,0.64,0.7,0.77
b_0,2.06,2.63,2.03,3.05,3.56,1.85,1.16,0.81,0.99,0.5,0.59,0.77,1.13,0.75,0.71,0.65
f_0,1.99,4.73,2.38,2.48,2.41,1.99,1.24,0.88,0.76,0.85,0.85,0.59,0.83,0.7,0.98,0.49
a_0,2.97,2.42,2.22,2.75,3.29,3.55,1.22,0.98,1.01,0.81,0.52,0.87,0.56,0.78,0.87,0.72
h_0,2.63,2.81,2.52,2.57,2.5,2.21,1.4,0.95,1.12,0.89,0.92,0.88,0.89,0.91,0.72,0.79
e_0,3.32,3.69,2.23,3.11,2.35,2.42,1.27,1.1,1.07,1.03,1.09,0.53,0.87,0.87,0.57,0.73
g_0,2.56,3.32,2.8,2.46,3.23,2.61,1.05,1.16,1.31,0.97,1.01,0.98,1.05,0.64,0.92,0.99
