,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.0,1.08,1.01,0.87,0.88,0.66,0.45,0.34,0.55,0.46,0.45,0.36,0.38,0.29,0.31,0.27
e_1,0.92,1.0,0.75,1.14,0.9,0.73,0.61,0.51,0.45,0.62,0.46,0.41,0.36,0.33,0.33,0.34
f_1,1.0,1.34,1.0,0.96,0.77,0.7,0.44,0.41,0.36,0.39,0.39,0.38,0.28,0.3,0.29,0.28
c_1,1.15,0.87,1.04,1.0,1.3,0.71,0.56,0.51,0.4,0.32,0.29,0.33,0.37,0.37,0.3,0.37
b_1,1.14,1.12,1.3,0.77,1.0,1.2,0.48,0.48,0.51,0.5,0.47,0.45,0.42,0.39,0.28,0.33
a_1,1.52,1.37,1.41,1.42,0.83,1.0,0.71,0.6,0.62,0.61,0.68,0.62,0.58,0.39,0.71,0.44
h_1,2.1,1.66,2.29,1.82,2.01,1.44,1.0,1.17,0.9,0.81,0.78,0.77,0.72,0.79,0.7,0.68
g_1,3.0,2.03,2.32,1.99,2.02,1.6,0.86,1.0,0.88,0.8,0.86,0.95,0.64,0.72,0.75,0.73
c_0,1.81,2.23,2.7,2.73,1.86,1.52,1.12,1.18,1.0,1.16,1.33,0.88,0.94,0.74,0.89,0.74
d_0,2.13,1.63,2.49,3.19,2.09,1.59,1.24,1.29,0.83,1.0,0.84,0.86,0.83,0.8,0.82,0.79
b_0,2.22,2.29,2.54,3.36,2.07,1.4,1.26,1.13,0.73,1.19,1.0,0.84,0.9,0.76,1.35,0.73
f_0,2.75,2.45,2.57,3.09,2.34,1.7,1.33,1.05,1.16,1.21,1.16,1.0,1.1,0.66,0.83,1.16
h_0,2.73,2.89,3.62,2.64,2.33,1.64,1.39,1.53,1.07,1.17,1.11,0.91,1.0,1.11,0.76,0.9
g_0,3.42,3.03,3.31,2.86,2.52,2.49,1.23,1.43,1.33,1.26,1.16,1.55,0.88,1.0,1.0,1.02
a_0,3.15,2.93,3.38,3.29,3.69,1.6,1.43,1.36,1.11,1.26,0.82,1.17,1.39,1.01,1.0,0.99
e_0,3.67,2.74,3.79,2.68,2.86,2.25,1.54,1.3,1.33,1.31,1.35,0.89,1.18,0.97,1.09,1.0
