,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,35.69,0.07,0.08,0.07,0.06,0.06,0.2,0.6,0.24,0.35,0.47,0.43,0.55,0.46,,0.47
f_1,0.1,37.66,0.06,0.08,0.08,0.07,0.28,0.39,0.3,0.36,0.36,,0.54,0.43,0.23,0.64
c_1,0.05,0.09,40.45,0.05,0.14,0.07,0.3,0.39,0.29,,0.28,0.37,0.57,0.41,0.41,0.54
d_1,0.05,0.06,0.04,41.21,0.07,0.05,0.29,,0.35,0.9,0.33,0.46,0.63,0.5,0.3,0.57
b_1,0.07,0.05,0.08,0.07,48.97,0.16,0.27,0.37,0.27,0.33,,0.38,0.64,0.31,0.39,0.57
a_1,0.06,0.05,0.09,0.05,0.07,72.01,0.32,0.43,0.28,0.33,0.42,0.4,0.57,,0.43,0.5
h_1,0.21,0.42,0.3,0.27,0.24,0.34,29.93,1.16,1.42,1.27,1.43,0.78,,1.23,1.86,3.11
d_0,0.43,0.3,0.63,,0.36,0.29,2.41,18.32,1.01,1.42,2.38,2.22,3.62,0.97,1.78,1.61
g_1,0.31,0.28,0.2,0.34,0.21,0.27,1.02,1.47,36.5,1.36,1.54,2.25,1.79,1.21,1.56,
c_0,0.5,0.39,,0.35,0.27,0.49,1.71,1.98,1.3,18.83,2.55,1.87,2.86,2.49,1.42,2.69
b_0,0.39,0.25,0.36,0.48,,0.21,1.66,2.26,1.21,1.76,20.72,2.62,2.14,2.8,2.24,3.03
f_0,0.29,,0.29,0.26,0.43,0.38,1.73,2.24,2.11,2.21,1.44,21.71,3.08,2.49,3.78,2.95
h_0,0.49,0.88,0.51,0.58,0.51,0.32,,2.36,3.28,3.54,3.01,2.86,,2.28,2.85,6.65
a_0,0.44,0.22,0.31,0.47,0.35,,0.92,2.3,1.12,2.63,1.63,1.28,3.5,27.09,2.67,3.98
e_0,,0.33,0.45,0.34,0.22,0.45,2.42,1.79,1.16,1.86,1.81,1.97,3.98,,29.96,3.58
g_0,0.36,0.53,0.59,0.77,0.44,0.35,1.4,2.61,,2.49,4.28,4.48,7.35,2.72,3.21,
