,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.15,79.15,80.58,58.98,69.27,81.08,14.98,19.21,24.19,25.83,13.39,,7.75,,14.25,15.6
e_1,41.4,1.15,100.72,74.43,109.23,106.68,22.69,14.9,14.63,32.63,15.25,18.18,14.69,,17.1,12.48
c_1,92.9,100.54,1.15,142.09,86.06,144.79,33.08,8.9,,23.85,23.87,12.41,14.69,17.2,19.0,14.86
d_1,112.03,97.89,103.97,1.15,91.61,119.24,24.81,,19.66,15.12,22.88,18.85,20.29,13.76,18.0,6.78
b_1,95.22,155.0,54.63,104.2,1.15,96.52,31.76,26.07,22.46,32.63,,21.21,14.69,18.11,,14.86
a_1,181.38,124.0,169.63,223.29,64.55,1.15,46.71,34.76,29.95,41.33,,42.42,19.36,,,20.8
h_1,76.18,106.29,103.97,130.25,83.53,84.46,2.0,22.81,13.67,47.69,17.16,17.55,,28.67,28.5,13.57
d_0,79.35,53.91,78.61,,97.93,75.07,22.69,2.96,17.97,25.83,23.87,15.42,9.91,10.42,14.87,15.6
c_0,100.24,120.0,,56.84,109.23,84.46,33.08,19.21,2.98,20.0,18.3,25.45,9.68,20.24,26.31,11.56
g_1,126.97,177.14,115.11,130.25,202.86,101.35,24.81,31.74,23.3,2.0,30.5,33.93,12.17,,,
b_0,173.14,100.54,146.5,115.78,,,27.38,20.28,14.98,32.63,2.87,23.14,11.21,,18.0,18.35
f_0,,112.73,111.14,111.64,123.48,119.24,26.47,28.08,23.3,20.67,24.95,3.05,28.4,21.5,,9.45
h_0,105.81,93.0,82.64,80.15,86.06,106.68,,17.38,19.06,23.85,15.69,22.13,,21.5,14.87,14.18
e_0,,,146.5,173.67,135.24,,49.62,25.17,48.38,,,12.41,30.43,3.21,,26.0
a_0,211.61,169.09,179.06,164.53,,,49.62,45.63,37.0,,18.93,,20.29,,3.0,
g_0,141.07,120.0,161.15,135.91,218.46,126.69,27.38,31.74,22.46,,23.87,26.79,13.74,21.5,,
