,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,2.36,1.08,1.33,0.83,0.98,0.86,1.85,3.66,1.82,2.08,2.23,1.9,2.83,1.87,2.43,1.51
f_1,1.75,2.41,1.02,0.9,0.87,0.77,1.88,2.28,1.55,2.03,1.57,1.95,2.43,1.65,2.28,1.36
c_1,0.96,1.04,2.5,0.95,1.74,0.88,1.83,2.05,1.57,1.21,2.06,1.38,2.69,1.71,2.47,1.57
d_1,1.01,1.25,0.82,2.54,0.9,0.8,2.05,1.59,1.82,3.61,2.17,2.38,2.95,1.84,3.03,1.79
b_1,0.97,1.05,1.0,1.0,2.61,1.72,2.0,2.03,1.82,1.91,2.14,1.55,2.64,1.66,2.01,1.7
a_1,1.1,0.96,1.07,1.23,1.03,3.03,2.01,2.13,2.0,2.07,2.35,1.94,2.84,1.17,2.31,2.0
h_1,1.1,1.44,1.05,1.29,1.04,0.8,3.51,2.07,2.49,2.17,2.23,1.86,2.39,1.84,3.04,1.78
d_0,1.08,1.08,1.97,0.82,1.16,0.79,2.09,3.24,1.77,1.44,2.13,1.76,2.9,2.03,2.52,1.95
g_1,1.01,1.06,1.15,1.56,1.05,0.78,2.12,2.19,3.75,2.38,3.23,2.06,2.69,1.72,2.33,1.94
c_0,1.25,1.32,0.92,1.25,0.81,0.8,2.33,2.7,1.94,3.47,2.54,3.79,2.99,2.56,2.84,1.99
f_0,1.03,1.05,1.28,1.23,1.14,0.71,2.26,2.32,2.06,2.34,3.51,2.35,3.41,2.18,3.03,3.53
b_0,1.16,1.37,1.2,1.07,0.82,0.7,2.27,2.8,1.94,2.51,2.15,3.83,2.95,3.89,2.58,2.07
h_0,1.21,1.49,1.03,1.29,1.07,0.83,1.74,2.15,2.3,2.28,2.09,2.21,2.33,1.99,3.16,1.96
a_0,1.16,1.32,1.23,1.03,0.99,0.77,2.49,2.65,2.03,2.26,2.5,2.36,2.91,3.76,2.55,2.36
g_0,1.07,1.11,0.95,1.54,1.08,0.86,2.41,2.15,1.65,2.7,3.37,2.32,2.59,1.91,2.33,2.36
e_0,0.97,1.23,1.33,1.42,1.01,0.71,2.28,2.4,2.11,2.19,2.09,1.98,3.13,2.21,3.14,3.76
