,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.52,0.97,0.94,1.19,0.97,0.73,1.15,1.06,1.73,1.14,1.15,1.17,1.25,1.05,1.2,0.88
f_1,1.42,1.53,0.93,0.99,0.85,0.77,0.99,1.04,1.28,1.05,1.13,0.85,1.14,0.98,1.05,0.76
d_1,1.1,1.13,1.58,0.93,0.84,0.81,1.3,1.04,1.06,1.8,1.32,1.17,1.33,1.02,1.13,1.03
c_1,0.93,1.04,1.02,1.58,1.5,0.85,1.15,1.11,1.07,0.96,0.85,1.09,1.24,0.99,1.04,0.95
b_1,1.03,1.19,1.06,0.85,1.64,1.38,1.17,1.13,1.07,1.24,1.02,1.15,1.35,0.89,1.18,0.99
a_1,1.19,1.23,1.21,1.09,0.9,1.8,1.41,1.08,1.41,1.35,1.27,1.29,1.6,0.96,1.38,1.15
h_1,1.31,1.56,1.29,1.19,1.15,0.9,1.88,1.63,1.47,1.24,1.45,1.31,1.4,1.28,1.7,1.19
g_1,1.19,1.28,1.67,1.24,1.11,1.05,1.48,1.95,1.27,1.35,1.44,1.86,1.53,1.26,1.42,1.37
d_0,1.18,1.31,1.09,1.88,1.42,0.92,1.45,1.37,1.8,1.2,1.36,1.38,1.84,1.21,1.56,1.28
c_0,1.41,1.49,1.16,1.3,1.07,1.05,1.57,1.51,1.66,1.82,2.24,1.38,1.72,1.41,1.54,1.46
b_0,1.38,1.41,1.34,1.6,1.01,0.71,1.64,1.7,1.61,1.28,1.89,1.57,1.64,2.15,1.63,1.45
f_0,1.19,1.31,1.42,1.43,1.26,1.01,1.61,1.4,1.49,1.57,1.5,1.93,1.89,1.47,1.6,2.18
h_0,1.4,1.73,1.41,1.27,1.21,1.03,1.34,1.83,1.37,1.5,1.57,1.45,1.47,1.33,1.99,1.27
a_0,1.43,1.49,1.46,1.53,1.32,0.88,1.71,1.54,1.71,1.55,1.55,1.72,2.0,1.98,1.62,1.32
g_0,1.41,1.53,1.81,1.44,1.13,1.08,1.43,1.48,1.44,1.61,1.65,1.97,1.61,1.42,1.54,1.43
e_0,1.23,1.67,1.54,1.46,1.39,1.18,1.83,1.61,1.6,1.55,1.65,1.39,1.93,1.44,1.56,1.95
