,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,118.8,70.57,74.74,75.88,171.2,372.05,9134.34,15068.19,17648.86,16253.52,43503.81,31169.42,143606.38,122629.73,117701.92,182097.44
f_1,71.14,120.1,77.56,121.35,96.18,324.78,8566.6,14598.51,22274.08,26671.53,28542.58,44839.21,110778.46,78968.14,136623.67,176665.91
d_1,60.98,75.51,128.66,78.4,101.37,363.97,9391.22,13502.53,16611.63,43064.57,42382.99,58401.13,132470.49,129523.24,131333.57,175180.39
e_1,80.01,59.29,66.4,136.05,105.3,369.59,8441.96,15340.94,32753.98,24585.49,43820.77,41774.72,129274.39,102324.76,130721.6,203737.07
b_1,53.62,64.51,67.7,67.73,167.77,618.42,8530.83,12197.6,17800.26,23970.57,35289.09,31192.24,122263.13,100032.52,102915.08,159062.46
a_1,45.66,47.6,40.41,43.31,47.33,498.58,5213.96,10088.36,12776.38,17051.96,25906.32,27968.68,78752.29,86136.31,73021.13,114425.27
h_1,18.02,22.77,20.58,20.5,24.0,103.85,3304.32,4460.66,5036.41,7078.42,10840.15,11869.75,28420.32,28345.91,33764.75,60034.73
g_1,14.64,14.48,23.58,14.87,21.91,72.67,2067.18,4953.46,4340.43,6026.85,13403.87,9394.81,24925.31,30431.09,27342.62,39555.98
d_0,22.09,14.22,12.92,13.97,23.36,78.82,1791.8,2929.46,5524.64,3798.14,9014.83,8058.46,24900.37,23733.76,29033.56,39364.52
c_0,14.58,14.49,13.67,14.62,15.51,65.47,1886.86,3112.16,4502.31,6898.25,8244.35,14739.73,28054.39,26196.01,30393.23,39082.0
f_0,12.06,10.73,14.36,11.72,18.28,65.62,1656.86,2289.27,3245.34,4747.59,9147.67,8509.33,22274.37,35213.79,24213.75,30205.96
b_0,12.51,13.27,12.18,12.91,13.47,48.81,1556.51,2434.87,3682.53,3808.14,5735.62,9593.2,24033.48,21208.47,37733.09,31906.81
h_0,8.2,10.52,9.29,9.43,11.83,43.03,1016.2,2350.1,2575.7,3204.07,5163.99,5210.89,13817.5,14515.19,18413.56,27823.49
e_0,8.37,10.93,9.28,7.38,12.55,46.47,1189.49,1737.89,2256.69,2806.08,4452.21,4721.18,17871.75,21190.37,16046.87,22389.98
a_0,7.91,8.21,9.99,8.82,12.11,34.38,1098.09,1815.48,2280.92,2780.15,3745.48,4348.64,14182.58,12989.39,22147.79,21661.31
g_0,7.7,6.75,10.97,7.07,11.18,33.99,884.3,1284.84,2103.56,3170.7,5863.14,5100.5,13603.35,14086.63,15265.35,18740.67
