,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.49,0.45,0.45,0.46,0.43,0.35,0.54,0.5,0.51,0.95,0.55,0.57,0.48,0.54,0.26,0.49
f_1,0.69,1.5,0.49,0.47,0.44,0.36,0.49,0.46,0.52,0.51,0.53,0.18,0.48,0.48,0.32,0.44
d_1,0.46,0.54,1.51,0.34,0.42,0.39,0.61,0.52,0.86,0.24,0.58,0.56,0.45,0.55,0.44,0.51
c_1,0.52,0.42,0.54,1.58,0.73,0.34,0.54,0.49,0.14,0.52,0.56,0.53,0.4,0.56,0.47,0.6
b_1,0.52,0.48,0.56,0.35,1.61,0.69,0.58,0.56,0.55,0.51,0.21,0.55,0.38,0.66,0.46,0.53
a_1,0.53,0.56,0.44,0.56,0.36,1.76,0.65,0.55,0.73,0.58,0.62,0.58,0.32,0.71,0.39,0.67
h_1,0.7,1.0,0.74,0.72,0.55,0.54,1.65,0.98,0.83,0.78,0.79,0.81,0.81,0.47,0.68,0.73
g_1,0.73,0.75,0.98,0.79,0.57,0.51,0.74,1.71,0.89,0.8,0.71,1.1,0.64,0.82,0.87,0.5
c_0,0.84,0.84,0.73,0.69,0.73,0.43,0.99,0.95,1.54,0.96,1.39,1.02,0.76,0.97,0.88,0.93
d_0,0.66,0.75,0.42,1.4,0.74,0.56,0.89,0.95,0.73,1.52,0.94,0.93,0.78,1.05,0.79,0.94
b_0,0.77,0.91,0.77,0.85,0.44,0.5,1.09,0.95,0.73,0.82,1.56,0.81,1.67,1.16,0.95,1.02
f_0,0.72,0.47,0.9,0.86,0.69,0.62,0.99,0.82,1.0,0.94,1.22,1.58,1.0,1.23,1.67,0.95
a_0,0.84,0.94,0.98,0.86,0.65,0.34,1.02,1.03,1.01,0.74,0.77,1.0,1.64,1.07,0.84,0.83
h_0,0.71,1.14,0.91,0.77,0.71,0.52,0.67,1.09,0.95,0.97,0.8,0.66,0.9,0.63,0.84,1.08
e_0,0.59,1.3,0.81,0.76,0.79,0.79,1.12,0.78,0.91,0.98,0.84,0.57,0.87,1.14,1.75,1.05
g_0,0.72,0.92,1.07,0.78,0.8,0.5,1.08,0.74,1.09,0.79,1.06,1.13,0.99,1.0,0.79,
