,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,3.67,0.41,0.42,0.42,0.39,0.41,0.78,0.83,0.89,1.36,0.73,0.72,0.68,0.91,0.19,0.85
f_1,0.76,3.93,0.33,0.43,0.34,0.36,0.72,0.58,0.7,0.84,0.18,0.76,0.79,0.84,0.59,0.78
d_1,0.34,0.37,4.03,0.3,0.42,0.46,0.73,0.8,1.51,0.26,0.89,0.83,0.75,0.69,1.07,0.85
c_1,0.42,0.32,0.37,4.61,0.74,0.35,0.85,0.69,0.1,0.77,0.91,0.66,0.82,0.77,0.77,0.78
b_1,0.36,0.46,0.36,0.39,5.01,0.63,0.82,0.71,0.68,0.74,0.88,0.18,0.54,1.08,0.68,0.78
a_1,0.51,0.37,0.36,0.31,0.36,6.98,0.75,0.67,0.79,0.73,0.83,0.73,0.22,1.07,0.95,0.8
h_1,0.54,0.98,0.69,0.7,0.57,0.64,4.91,1.57,1.33,1.41,1.36,1.78,1.84,0.65,1.63,2.24
g_1,0.56,0.66,1.0,0.92,0.66,0.54,0.76,5.62,1.22,0.96,2.03,1.59,1.42,1.63,0.82,0.79
c_0,0.55,0.81,0.94,0.36,0.51,0.67,1.39,1.28,3.71,1.18,1.72,3.5,1.73,1.45,1.88,2.02
d_0,0.68,0.86,0.21,1.34,0.61,0.44,1.3,1.51,1.34,3.97,1.36,1.59,1.63,1.92,1.4,1.43
f_0,0.53,0.24,1.0,0.87,0.57,0.69,1.4,1.37,1.66,1.98,4.81,1.63,1.44,1.71,3.87,1.79
b_0,0.58,0.77,0.79,0.88,0.16,0.59,1.45,1.37,1.55,1.53,1.97,4.58,3.33,1.62,1.53,1.87
a_0,0.65,1.01,0.83,0.73,0.52,0.21,1.28,1.35,1.38,1.48,1.46,1.34,6.04,1.62,1.8,1.75
h_0,0.56,1.15,0.76,0.59,0.66,0.65,0.46,1.66,1.35,1.21,1.25,1.39,1.29,0.68,1.13,1.74
e_0,0.18,0.94,0.72,0.76,0.95,0.59,1.36,1.25,1.59,1.68,1.5,2.01,1.52,1.75,6.67,1.65
g_0,0.57,0.59,1.31,0.67,0.51,0.55,0.95,0.42,1.25,1.12,2.14,1.61,1.71,1.47,1.84,0.73
