,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.16,0.4,0.83,1.05,0.83,0.84,0.22,0.3,0.17,0.16,0.2,0.16,0.1,0.4,0.16,0.18
f_1,0.75,0.16,0.62,0.78,0.74,0.75,0.17,0.31,0.17,0.15,0.41,0.16,0.08,0.16,0.12,0.13
d_1,0.88,0.8,0.16,0.88,0.71,0.73,0.21,0.13,0.5,0.13,0.14,0.16,0.12,0.16,0.08,0.15
c_1,0.67,0.94,1.03,0.16,0.78,0.8,0.22,0.19,0.08,0.27,0.13,0.15,0.11,0.13,0.11,0.13
b_1,0.7,0.83,0.86,0.46,0.14,0.79,0.27,0.25,0.17,0.21,0.15,0.36,0.15,0.17,0.14,0.25
a_1,0.9,1.09,0.84,0.71,0.42,0.1,0.21,0.3,0.18,0.19,0.16,0.17,0.14,0.15,0.1,0.26
h_1,0.6,0.59,0.56,0.6,0.71,0.52,0.06,0.17,0.13,0.12,0.13,0.13,0.17,0.1,0.08,0.11
g_1,0.68,0.76,0.57,0.64,0.67,0.54,0.14,0.05,0.12,0.11,0.14,0.13,0.06,0.12,0.13,0.1
d_0,0.35,0.78,1.16,0.57,0.62,0.61,0.21,0.19,0.06,0.13,0.13,0.14,0.09,0.13,0.11,0.14
c_0,0.6,0.65,0.33,1.66,0.7,0.52,0.16,0.21,0.16,0.06,0.14,0.13,0.1,0.13,0.09,0.12
f_0,0.53,1.34,0.57,0.57,0.84,0.47,0.19,0.1,0.12,0.1,0.06,0.12,0.09,0.13,0.05,0.13
b_0,0.56,0.59,0.45,0.81,1.48,0.62,0.18,0.15,0.17,0.06,0.13,0.05,0.09,0.14,0.09,0.1
h_0,0.57,0.56,0.69,0.6,0.52,0.68,0.3,0.15,0.11,0.11,0.15,0.11,0.14,0.11,0.1,0.1
e_0,0.99,0.9,0.58,0.58,0.57,0.65,0.19,0.14,0.15,0.12,0.06,0.11,0.1,0.04,0.08,0.08
g_0,0.61,0.79,0.49,0.7,0.69,0.54,0.12,0.29,0.14,0.12,0.12,0.11,0.07,0.15,0.12,0.12
a_0,0.61,0.62,0.56,0.62,0.9,0.87,0.19,0.19,0.13,0.1,0.12,0.06,0.09,0.13,0.11,0.04
