,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,94.44,79.1,70.31,83.04,128.06,281.05,10009.37,16380.17,17370.09,23326.84,18858.2,34846.16,67161.94,120804.92,106916.83,171084.32
e_1,42.93,98.26,98.92,73.07,133.76,336.16,10347.9,28215.9,19660.64,24975.55,34631.09,38494.98,93230.09,124131.51,157480.69,158867.45
c_1,46.09,33.98,140.96,77.61,208.21,253.4,8337.38,10951.21,14466.27,10405.62,22966.67,23969.11,67396.87,96351.51,114364.08,167437.35
d_1,40.36,43.92,54.65,149.86,114.2,246.86,9533.71,10493.2,15508.59,36032.32,30319.62,36205.51,66370.11,137518.35,119865.78,136712.09
b_1,37.73,33.79,45.27,56.44,228.91,400.48,7352.16,12819.93,13396.77,15584.8,19397.47,15935.03,58567.01,95957.38,104147.92,130708.93
a_1,28.54,24.72,51.22,51.26,58.45,453.54,5621.45,10790.3,8918.58,12982.96,15671.15,19012.45,46868.33,85406.83,61974.52,96138.08
h_1,14.81,10.74,20.74,17.64,29.33,63.03,3867.79,3458.96,5459.66,5515.63,5926.77,8772.59,12220.12,25718.43,29688.01,48964.41
d_0,10.56,8.2,25.59,13.07,30.23,61.87,2418.5,4767.12,3657.65,4596.45,6698.18,7301.07,14886.29,24623.3,26962.52,43730.89
g_1,9.38,8.32,14.35,22.76,23.69,58.93,1810.73,2835.65,6167.63,4372.91,7796.47,6795.26,11939.95,29128.49,29398.31,25478.39
c_0,8.41,10.01,13.17,13.46,22.59,47.9,2153.75,3222.0,4038.05,6415.98,5739.99,11574.22,14982.04,30294.4,32446.21,32560.41
f_0,6.5,6.79,14.68,15.48,26.02,62.06,2086.52,2959.46,2896.96,4828.39,7419.89,6539.59,13336.81,47035.07,24533.05,30499.88
b_0,8.24,8.3,14.92,12.55,17.89,47.15,1818.39,2697.0,3468.27,3375.95,4642.51,8900.18,12737.62,22843.95,39686.83,32190.26
h_0,8.41,5.98,10.86,11.0,17.88,42.2,1375.88,2300.82,3047.93,2916.56,3394.86,5062.92,8764.79,18410.74,19038.53,28762.19
e_0,4.63,4.16,9.34,8.51,15.53,31.24,1392.32,2164.32,2043.8,2547.05,2698.45,4244.76,9555.6,24782.82,18442.58,20657.75
a_0,6.23,4.56,9.25,9.29,13.56,23.15,1162.94,1801.92,1710.55,2301.83,3174.12,3343.27,8378.25,13796.34,25134.41,20772.73
g_0,3.54,4.99,7.8,11.81,14.31,30.95,1089.58,1322.47,1650.48,2633.54,4034.25,3824.54,7474.04,15540.18,13966.56,15479.03
