,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.44,0.96,1.86,1.74,2.03,1.77,0.6,0.36,0.48,0.28,0.32,0.42,0.29,0.31,0.75,0.34
f_1,1.52,0.43,1.57,1.64,1.82,1.49,0.33,0.37,0.56,0.34,0.4,0.53,0.16,0.36,0.29,0.26
c_1,1.35,1.83,0.42,2.66,1.79,1.48,0.44,0.2,0.56,0.66,0.31,0.38,0.27,0.32,0.3,0.24
d_1,1.97,1.76,1.9,0.41,1.98,1.74,0.49,1.11,0.29,0.35,0.33,0.36,0.24,0.32,0.38,0.17
b_1,2.26,2.25,0.98,1.87,0.39,2.29,0.63,0.45,0.65,0.64,0.97,0.41,0.39,0.43,0.42,0.34
a_1,2.63,3.09,2.7,2.38,1.03,0.33,0.72,0.53,0.82,0.44,0.74,0.47,0.41,1.63,0.47,0.39
h_1,3.07,3.38,3.29,2.9,2.71,2.45,0.31,0.52,0.78,0.58,0.58,0.52,0.58,0.57,0.46,0.46
d_0,1.78,2.89,3.17,4.95,3.46,3.48,1.05,0.37,1.13,0.65,0.71,0.69,0.56,0.59,0.77,0.61
g_1,3.25,3.41,3.82,2.63,3.33,4.14,0.72,0.72,0.29,0.59,0.67,0.55,0.39,0.63,0.58,0.69
c_0,3.35,3.08,9.15,1.75,3.66,3.47,1.19,1.24,0.9,0.36,0.7,0.66,0.47,0.61,0.62,0.47
b_0,2.88,3.09,5.12,2.8,5.89,3.04,0.95,0.85,0.9,0.37,0.35,0.58,0.47,0.73,0.61,0.44
f_0,3.23,6.53,3.63,3.29,3.52,3.21,1.27,0.78,0.61,0.8,0.71,0.33,0.5,0.76,0.76,0.31
h_0,3.8,4.19,3.99,3.64,3.26,3.61,1.32,0.83,1.2,0.77,0.85,0.77,0.8,0.75,0.65,0.42
a_0,3.57,3.98,4.49,3.44,5.0,8.56,1.23,1.17,1.26,0.71,0.43,0.76,0.53,0.33,0.71,0.52
e_0,6.42,6.23,4.07,4.14,3.81,3.19,0.98,0.88,1.06,0.9,0.75,0.37,0.56,0.67,0.31,0.48
g_0,4.65,4.23,4.15,4.32,4.1,3.78,0.9,1.12,1.86,0.92,0.81,0.79,0.43,0.8,0.77,0.77
