,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,2.29,0.15,0.25,0.26,0.22,0.13,0.4,0.96,0.43,0.39,0.37,0.51,0.64,0.7,0.1,0.37
d_1,0.18,2.34,0.22,0.18,0.18,0.15,0.4,0.1,1.0,0.37,0.54,0.5,0.67,0.48,0.53,0.4
f_1,0.41,0.22,2.32,0.24,0.14,0.21,0.38,0.4,0.44,0.3,0.42,0.07,0.64,0.49,0.35,0.37
c_1,0.23,0.18,0.22,2.34,0.41,0.13,0.51,0.47,0.09,0.33,0.35,0.48,0.5,0.46,0.43,0.31
b_1,0.25,0.25,0.26,0.18,2.54,0.33,0.34,0.45,0.43,0.39,0.11,0.4,0.59,0.45,0.24,0.25
a_1,0.24,0.22,0.24,0.24,0.13,3.06,0.48,0.56,0.55,0.39,0.47,0.5,0.48,0.49,0.27,0.09
h_1,0.4,0.41,0.48,0.43,0.36,0.27,2.79,0.86,0.78,0.82,0.83,0.79,0.34,1.04,0.61,0.76
d_0,0.35,0.08,0.51,0.81,0.34,0.29,0.62,2.21,0.65,0.49,0.88,0.62,0.91,0.78,0.51,0.81
c_0,0.41,0.53,0.42,0.13,0.35,0.28,0.57,0.86,2.31,0.53,1.8,1.0,0.93,0.98,0.8,0.77
g_1,0.26,0.73,0.34,0.45,0.32,0.19,0.59,0.79,0.79,3.14,0.85,1.25,0.72,0.51,0.71,0.59
b_0,0.38,0.47,0.44,0.44,0.16,0.2,1.1,0.74,1.0,0.66,2.59,0.86,0.98,0.95,0.62,1.53
f_0,0.39,0.53,0.12,0.35,0.48,0.31,0.78,0.94,0.93,0.56,0.88,2.34,1.0,1.26,1.28,0.65
h_0,0.44,0.41,0.58,0.35,0.3,0.25,0.28,0.8,0.87,0.93,0.82,0.73,0.44,1.06,0.59,0.54
g_0,0.34,0.73,0.23,0.46,0.34,0.29,0.74,0.7,0.71,0.25,0.65,1.23,0.89,0.34,0.58,0.54
e_0,0.12,0.45,0.41,0.44,0.35,0.36,0.8,0.82,0.96,0.67,1.06,1.07,1.43,1.31,3.03,0.61
a_0,0.33,0.48,0.38,0.46,0.36,,0.83,1.08,0.77,0.69,0.77,0.89,1.35,0.83,0.79,2.61
