,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,11.07,0.79,0.69,0.52,0.54,0.65,0.98,0.87,2.51,0.62,1.6,1.04,1.17,1.19,1.1,1.09
f_1,0.67,11.36,1.74,0.6,0.64,0.52,0.96,0.89,0.9,1.11,0.94,0.65,1.02,0.9,0.56,0.89
e_1,0.6,0.78,10.6,1.03,0.71,0.63,0.9,0.81,0.85,2.18,1.0,0.78,0.95,0.93,0.7,0.88
c_1,0.71,0.63,0.53,12.28,1.66,0.94,0.86,0.94,0.43,0.83,0.5,0.95,0.83,0.89,0.94,0.95
b_1,0.65,0.61,0.6,0.75,13.44,1.84,0.81,0.96,0.81,0.85,0.54,0.94,0.68,0.93,0.88,0.88
a_1,0.65,0.67,0.62,0.81,0.86,19.09,1.22,1.03,0.77,0.93,0.92,1.2,0.65,1.09,1.28,1.14
h_1,1.0,1.29,0.69,0.73,0.53,0.58,3.38,1.43,1.1,0.87,1.21,1.2,0.97,0.78,1.35,1.52
g_1,1.51,0.7,0.66,0.66,0.67,0.64,1.08,3.98,1.04,0.81,1.25,2.45,1.31,1.33,1.68,0.89
c_0,0.98,0.83,0.94,0.58,0.61,0.65,1.06,1.15,2.39,0.97,3.27,1.34,1.5,0.97,1.34,1.05
d_0,0.52,0.68,0.72,2.89,0.79,0.76,0.89,0.88,0.52,1.76,0.79,0.89,0.96,0.98,0.92,0.99
b_0,0.93,1.0,0.66,1.01,0.62,0.56,1.1,1.13,1.01,0.98,2.42,1.03,2.81,1.35,1.12,1.05
f_0,1.09,0.61,0.48,0.93,0.94,0.83,1.21,1.25,1.19,0.85,1.26,2.91,1.15,1.0,3.99,1.39
a_0,0.96,0.91,0.71,0.94,0.68,0.62,1.13,1.19,0.97,0.81,1.29,1.11,2.48,1.45,1.06,1.15
h_0,0.98,1.26,0.77,0.8,0.61,0.71,0.69,1.38,0.98,0.97,0.98,1.14,1.12,0.72,0.91,1.24
e_0,1.0,0.78,0.5,0.87,1.04,0.9,1.12,1.21,1.14,0.85,1.07,1.17,1.12,1.41,3.4,1.29
g_0,2.22,0.73,0.63,0.86,0.59,0.59,1.03,0.77,1.33,0.81,1.14,1.66,0.87,1.03,1.25,0.85
