,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,2.44,2.32,1.54,1.68,1.52,1.4,2.88,3.23,3.78,3.28,2.96,3.61,4.26,3.68,2.94,4.58
e_1,1.51,2.46,1.45,2.09,1.85,1.66,3.13,3.26,5.44,3.39,4.15,3.75,4.63,4.14,3.62,4.83
d_1,1.76,1.67,2.5,1.49,1.62,1.49,3.17,3.13,3.25,5.49,3.78,4.35,4.73,4.15,4.2,4.58
c_1,1.62,1.49,1.7,2.65,2.68,1.75,3.16,3.07,2.88,2.56,3.76,2.63,4.11,3.54,3.88,4.14
b_1,1.81,1.59,1.63,1.39,2.85,2.94,3.43,3.3,3.34,3.3,3.33,3.03,4.89,3.02,3.87,4.38
a_1,1.91,1.75,1.86,1.59,1.33,3.39,3.51,3.77,3.02,3.9,3.84,4.41,5.06,2.9,3.64,4.68
h_1,2.13,1.67,1.8,1.76,1.69,1.7,4.37,3.94,3.62,2.99,3.23,3.21,3.84,3.25,3.55,5.84
g_1,1.7,1.63,2.16,1.84,1.6,1.59,3.23,4.54,3.19,3.78,4.57,3.54,4.04,4.13,3.95,4.43
d_0,1.61,1.46,1.36,2.72,2.04,2.1,3.34,3.44,4.47,2.63,3.9,3.29,4.27,3.89,3.64,4.85
c_0,1.9,1.73,1.73,1.84,1.49,1.58,3.61,3.44,4.01,4.68,3.58,6.03,5.01,4.85,4.35,5.05
f_0,1.63,1.44,1.89,1.75,1.94,1.75,3.85,3.19,3.66,4.06,4.81,3.57,4.73,3.67,6.77,4.96
b_0,1.95,1.48,1.79,2.15,1.56,1.42,3.53,3.34,3.82,3.16,3.82,4.88,5.21,6.68,4.37,5.43
h_0,2.06,1.71,1.75,1.76,1.59,1.51,3.02,4.27,3.57,3.49,3.67,3.87,4.21,4.47,3.55,5.56
a_0,1.78,1.54,1.9,1.91,2.03,1.51,3.91,3.12,3.53,3.62,3.81,3.09,4.67,5.43,4.23,5.06
e_0,2.02,1.48,1.82,1.82,1.71,1.91,3.85,3.37,3.76,3.6,3.32,3.91,5.62,4.05,5.32,4.2
g_0,1.61,1.52,2.14,1.67,1.88,1.59,2.95,3.11,3.12,4.01,4.88,3.85,4.52,3.94,4.67,4.5
