,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.18,0.44,0.9,0.83,0.81,0.86,0.27,0.23,0.16,0.17,0.16,0.2,0.17,0.12,0.29,0.15
f_1,0.76,0.17,0.72,0.89,0.67,0.74,0.14,0.33,0.17,0.16,0.15,0.38,0.14,0.08,0.15,0.1
d_1,0.85,0.86,0.15,0.73,0.77,0.78,0.21,0.13,0.36,0.15,0.17,0.14,0.15,0.11,0.16,0.06
c_1,0.58,0.82,0.97,0.15,0.86,0.82,0.24,0.2,0.09,0.31,0.17,0.15,0.16,0.1,0.13,0.11
b_1,0.88,0.93,0.84,0.4,0.13,0.73,0.26,0.26,0.17,0.21,0.42,0.23,0.13,0.14,0.19,0.15
a_1,0.79,0.86,0.83,0.94,0.4,0.09,0.28,0.32,0.17,0.17,0.21,0.12,0.64,0.12,0.14,0.19
h_1,0.62,0.65,0.55,0.61,0.63,0.57,0.06,0.17,0.13,0.14,0.13,0.15,0.11,0.18,0.11,0.1
g_1,0.64,0.86,0.56,0.61,0.55,0.53,0.13,0.05,0.15,0.14,0.15,0.13,0.13,0.09,0.12,0.15
d_0,0.32,0.69,1.02,0.7,0.71,0.83,0.2,0.17,0.07,0.13,0.13,0.1,0.13,0.1,0.13,0.1
c_0,0.6,0.65,0.3,1.51,1.02,0.61,0.19,0.19,0.19,0.06,0.12,0.11,0.12,0.1,0.13,0.08
b_0,0.63,0.62,0.45,0.84,1.45,0.55,0.17,0.18,0.13,0.06,0.05,0.11,0.11,0.1,0.12,0.09
f_0,0.62,1.61,0.5,0.72,0.63,0.59,0.17,0.11,0.13,0.1,0.1,0.05,0.1,0.11,0.11,0.05
a_0,0.53,0.74,0.6,0.6,0.91,0.78,0.17,0.16,0.13,0.1,0.07,0.1,0.05,0.09,0.13,0.1
h_0,0.55,0.71,0.61,0.61,0.52,0.47,0.31,0.15,0.13,0.11,0.12,0.1,0.11,0.17,0.12,0.09
e_0,1.3,0.9,0.54,0.63,0.64,0.53,0.16,0.19,0.14,0.11,0.13,0.05,0.09,0.07,0.04,0.07
g_0,0.78,0.67,0.48,0.69,0.59,0.53,0.13,0.31,0.13,0.12,0.14,0.11,0.09,0.06,0.1,0.13
