,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.5,1.06,0.65,0.65,0.54,0.5,0.72,0.69,0.75,0.72,0.44,0.83,0.68,0.68,0.55,0.73
e_1,0.65,1.51,0.65,0.72,0.72,0.47,0.73,0.81,1.33,0.85,0.91,0.86,0.9,0.72,0.53,0.82
d_1,0.8,0.7,1.53,0.6,0.56,0.52,0.77,0.72,0.56,1.28,0.8,0.78,0.92,0.69,0.81,0.72
c_1,0.71,0.66,0.74,1.57,1.04,0.46,0.73,0.75,0.64,0.28,0.82,0.57,0.76,0.68,0.7,0.71
b_1,0.77,0.7,0.75,0.6,1.62,0.98,0.95,0.76,0.96,0.67,0.7,0.47,0.92,0.47,0.68,0.69
a_1,0.92,0.75,0.84,0.73,0.57,1.77,0.91,0.78,0.67,0.94,0.86,0.85,1.04,0.41,0.73,0.8
h_1,1.19,0.83,0.98,0.91,0.73,0.78,1.74,1.2,1.06,0.82,0.87,0.95,0.75,0.85,0.83,1.22
g_1,0.98,0.86,1.22,0.93,0.77,0.76,0.99,1.77,0.94,1.01,1.35,0.97,0.88,1.05,0.99,0.65
d_0,0.94,0.84,0.65,1.58,0.84,0.89,1.08,1.16,1.62,0.8,1.22,0.9,1.13,1.05,0.72,1.08
c_0,1.12,0.92,0.94,0.88,0.79,0.65,1.23,0.99,1.16,1.62,1.03,1.87,1.29,1.23,1.08,1.1
f_0,0.77,0.78,1.14,1.11,0.95,0.75,1.22,0.92,1.05,1.23,1.67,0.89,1.28,0.89,1.71,1.18
b_0,1.03,0.81,1.06,1.23,0.64,0.64,1.12,1.07,1.27,0.95,1.21,1.72,1.35,1.84,0.94,1.2
h_0,1.46,1.03,1.02,0.97,0.77,0.69,0.95,1.59,1.12,1.07,1.02,1.13,0.93,0.98,0.82,1.5
a_0,1.06,0.88,1.34,1.03,1.09,0.45,1.15,1.02,1.11,1.01,1.17,0.86,1.34,1.75,1.18,1.35
e_0,1.19,0.73,0.96,0.99,1.01,0.94,1.46,0.93,1.56,1.13,1.01,1.24,1.54,1.04,1.75,0.94
g_0,0.92,0.94,1.41,1.08,1.01,0.83,1.08,1.09,1.02,1.34,1.56,1.19,1.08,1.02,1.27,0.91
