,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.31,1.72,1.01,1.09,0.88,0.74,1.75,1.74,2.06,1.8,1.85,1.41,2.55,1.68,2.03,1.07
e_1,1.11,2.35,0.89,1.31,1.04,0.9,2.01,1.67,3.67,2.0,2.16,2.08,2.6,1.62,2.42,1.47
d_1,1.16,0.95,2.48,0.92,0.92,0.81,2.17,1.97,1.65,3.58,2.65,2.0,2.91,2.24,2.47,1.84
c_1,1.19,1.05,0.91,2.52,1.65,0.96,1.81,1.73,1.96,1.52,1.48,1.94,2.64,1.91,2.17,1.84
b_1,1.2,1.04,0.98,1.01,2.69,1.64,1.85,1.63,2.18,1.72,1.33,1.95,2.99,1.28,2.73,1.59
a_1,1.26,1.04,1.16,0.97,1.05,3.08,2.11,1.85,2.09,2.39,2.26,2.17,3.05,1.26,2.37,1.71
h_1,1.58,1.18,1.26,1.1,0.88,0.73,3.49,2.39,2.28,2.16,2.27,1.89,2.19,2.05,3.21,2.02
g_1,1.15,0.99,1.6,1.06,1.02,0.88,2.12,3.73,1.94,2.26,2.25,2.69,2.7,2.07,2.13,2.02
d_0,1.19,1.11,0.85,1.91,1.04,0.9,2.02,1.58,3.27,1.59,2.39,1.99,2.7,2.02,2.31,2.02
c_0,1.36,1.07,1.34,0.95,0.71,0.82,2.39,2.18,2.18,3.55,4.15,2.16,3.39,2.58,2.98,2.45
b_0,1.34,1.09,1.31,1.28,0.71,0.72,2.34,2.12,2.28,2.53,3.59,2.17,3.16,3.96,2.65,2.36
f_0,1.05,0.96,1.3,1.16,1.2,0.9,2.39,2.03,2.37,2.56,2.58,3.73,3.22,2.4,3.1,4.17
h_0,1.49,1.13,1.24,1.09,1.06,0.82,1.75,2.32,1.96,2.18,2.25,2.04,2.29,2.15,3.34,1.68
a_0,1.55,1.08,1.21,1.15,0.96,0.61,2.58,1.95,2.15,2.28,2.28,2.21,3.24,3.75,2.98,2.51
g_0,1.1,0.99,1.63,1.08,1.01,0.85,1.81,1.59,2.24,2.53,2.54,3.48,3.35,2.13,2.52,2.46
e_0,1.52,1.12,1.14,1.21,1.03,0.72,2.22,2.07,2.31,2.44,2.37,2.0,3.33,2.77,2.98,3.93
