,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.45,1.72,1.07,1.18,0.95,1.15,1.86,2.19,2.2,2.3,2.39,1.5,2.35,2.59,1.75,2.97
e_1,0.99,2.48,0.92,1.27,1.28,1.09,2.4,2.05,2.5,4.07,2.75,2.54,2.99,3.1,1.93,3.1
d_1,1.28,1.18,2.51,1.01,1.02,1.18,2.28,2.01,3.74,1.37,2.92,3.08,2.53,3.07,2.53,2.75
c_1,0.98,1.12,1.16,2.54,1.89,1.01,1.9,1.64,1.14,2.0,1.79,2.28,2.36,3.11,2.15,3.05
b_1,1.25,0.93,1.32,1.02,2.65,1.67,2.04,2.08,2.39,2.38,1.51,2.56,2.25,3.5,3.1,3.33
a_1,1.25,1.07,1.22,1.2,0.88,3.22,2.49,2.44,2.54,2.64,2.64,2.52,1.52,3.26,2.82,3.47
h_1,1.66,1.08,1.42,1.21,1.15,0.98,4.13,3.13,2.75,2.49,2.75,2.52,2.38,2.43,2.69,4.04
g_1,1.32,1.05,1.79,1.41,1.09,1.09,1.98,4.5,2.18,2.25,2.86,3.8,2.49,2.91,3.25,2.33
c_0,1.41,1.21,1.22,0.98,0.95,1.29,2.8,3.07,4.07,2.85,4.74,3.05,3.68,3.76,3.02,3.53
d_0,1.28,1.04,0.86,2.05,1.25,1.28,2.99,2.48,2.02,4.02,2.67,2.75,2.71,3.51,2.38,3.38
b_0,1.47,1.2,1.36,1.5,0.82,0.98,2.54,2.48,2.42,2.82,4.26,3.22,5.2,3.76,2.56,3.13
f_0,1.03,1.14,1.33,1.42,1.14,1.34,2.66,2.61,2.8,2.64,2.7,4.42,3.09,3.98,4.9,3.01
a_0,1.39,1.03,1.48,1.3,1.41,0.84,2.94,2.66,2.53,2.51,2.35,2.81,4.76,4.02,2.98,3.33
h_0,1.82,1.13,1.41,1.13,1.01,1.29,1.88,3.38,2.61,2.69,2.95,2.47,2.63,2.59,3.07,4.02
e_0,1.55,0.67,1.42,1.57,0.97,1.19,2.91,2.75,2.46,2.99,2.97,2.57,2.83,3.16,5.31,3.72
g_0,1.13,1.1,1.96,1.25,1.14,1.22,2.53,1.93,2.64,2.16,2.99,3.99,2.94,2.82,2.89,2.56
