,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,23.91,0.38,0.34,0.39,0.32,0.28,0.65,1.7,0.72,0.69,0.71,0.71,0.92,0.73,0.92,0.13
f_1,0.61,24.7,0.32,0.31,0.31,0.33,0.69,0.68,0.91,0.75,0.84,0.21,0.85,0.89,0.91,0.84
d_1,0.31,0.42,26.5,0.33,0.27,0.32,0.9,0.19,1.53,0.55,1.01,0.99,0.79,0.79,0.82,0.74
c_1,0.34,0.37,0.25,27.65,0.72,0.36,0.67,0.88,0.08,0.72,0.49,0.82,1.08,0.49,0.89,0.98
b_1,0.36,0.32,0.39,0.31,30.92,0.69,0.68,0.65,0.77,0.61,0.14,0.72,0.82,0.77,0.83,0.77
a_1,0.32,0.26,0.4,0.38,0.36,45.82,0.83,0.66,0.79,0.64,0.97,0.99,0.79,0.19,0.88,0.83
h_1,0.5,0.91,0.73,0.58,0.58,0.64,9.5,1.59,1.27,2.01,1.62,1.27,0.51,1.45,1.9,1.55
d_0,0.52,0.65,0.17,1.55,0.69,0.76,1.24,5.23,1.06,1.62,1.67,1.55,1.82,1.07,0.97,1.58
c_0,0.54,0.67,0.69,0.31,0.53,0.75,1.56,1.45,5.5,1.63,3.76,1.68,1.45,2.15,1.67,1.59
g_1,0.6,0.65,0.98,0.63,0.49,0.4,1.25,1.44,1.36,11.53,1.48,2.48,1.14,1.22,0.54,1.77
b_0,0.81,0.79,0.68,0.77,0.27,0.44,1.16,1.44,1.51,1.56,6.17,1.56,2.15,3.65,1.46,1.69
f_0,0.57,0.25,0.81,0.66,0.73,0.68,1.82,1.52,1.5,1.16,1.63,6.85,2.01,1.66,1.75,3.58
h_0,0.6,1.12,0.68,0.64,0.51,0.62,0.52,1.19,1.68,1.7,1.09,1.55,0.61,1.68,2.15,1.22
a_0,0.65,0.55,0.65,0.69,0.69,0.23,1.56,1.47,1.68,1.84,2.03,1.62,1.99,10.12,2.02,1.94
g_0,0.51,0.43,1.54,0.65,0.62,0.52,1.15,1.28,1.5,0.57,1.55,2.47,1.42,1.49,0.41,1.45
e_0,0.18,0.69,0.89,0.73,0.63,0.97,1.27,0.82,1.41,1.55,1.63,1.69,1.98,2.02,1.9,9.08
