,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.52,0.85,0.84,1.11,0.85,0.7,1.02,0.98,1.59,0.98,1.02,0.97,1.08,1.22,0.69,0.95
f_1,1.31,1.53,0.87,0.88,0.76,0.65,0.92,0.88,1.05,1.01,1.02,0.7,0.89,0.95,0.71,0.89
d_1,0.88,0.97,1.57,0.77,0.81,0.73,1.07,0.95,0.89,1.64,1.24,1.01,0.98,1.12,0.96,1.01
c_1,0.86,0.94,0.94,1.58,1.36,0.71,1.05,0.93,0.86,0.66,0.74,0.93,0.94,1.06,0.87,0.92
b_1,0.93,1.0,0.94,0.76,1.62,1.24,1.08,1.01,1.04,0.94,0.82,1.08,0.72,1.27,0.87,1.16
a_1,1.07,1.07,0.94,0.97,0.76,1.77,1.29,1.19,1.08,1.17,1.19,0.98,1.01,1.33,1.16,1.28
h_1,1.14,1.45,1.2,1.12,0.96,0.69,1.81,1.56,1.26,1.26,1.18,1.22,1.17,1.1,1.13,1.6
g_1,1.07,1.01,1.55,1.2,0.99,0.79,1.2,1.89,1.38,1.29,1.25,1.61,1.18,1.54,1.2,1.03
d_0,1.05,1.15,1.0,1.8,1.16,0.94,1.36,1.29,1.71,1.07,1.18,1.19,1.18,1.5,1.25,1.28
c_0,1.33,1.23,1.06,1.16,1.09,0.87,1.35,1.31,1.57,1.77,2.23,1.43,1.63,1.71,1.22,1.36
b_0,1.24,1.24,1.07,1.4,0.99,0.78,1.4,1.31,1.55,1.14,1.82,1.34,2.14,1.6,1.26,1.35
f_0,1.05,1.17,1.26,1.25,1.05,1.16,1.35,1.28,1.76,1.56,1.35,1.88,1.53,1.79,2.21,1.42
a_0,1.26,1.46,1.27,1.17,1.26,0.83,1.46,1.29,1.43,1.34,1.25,1.33,1.77,1.68,1.41,1.43
h_0,1.2,1.66,1.31,1.28,1.03,0.91,1.2,1.35,1.34,1.31,1.4,1.1,1.14,1.32,1.34,1.64
e_0,1.2,1.54,1.24,1.27,1.16,0.99,1.6,1.41,1.36,1.36,1.37,1.12,1.25,1.57,1.85,1.55
g_0,1.14,1.37,1.79,1.26,1.08,0.87,1.29,1.35,1.3,1.64,1.43,1.82,1.23,1.45,1.37,1.34
