,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.8,1.16,1.04,0.89,0.96,0.69,0.66,0.9,0.62,0.6,0.64,0.61,0.57,0.51,0.58
f_1,1.25,1.0,1.06,0.93,0.88,0.74,0.52,0.68,0.65,0.69,0.64,0.55,0.55,0.51,0.49,0.59
c_1,0.87,0.94,1.0,1.03,1.36,0.85,0.81,0.7,0.49,0.57,0.52,0.68,0.59,0.59,0.56,0.62
d_1,0.96,1.08,0.97,1.0,1.02,0.85,0.76,0.6,0.87,0.71,0.85,0.65,0.55,0.54,0.62,0.41
b_1,1.14,1.13,0.74,0.98,1.0,1.39,0.74,0.67,0.6,0.67,0.79,0.57,0.54,0.71,0.61,0.73
a_1,1.05,1.34,1.18,1.19,0.72,1.0,1.11,0.91,0.79,0.84,0.69,0.78,0.89,0.79,0.69,0.67
h_1,1.44,1.89,1.23,1.29,1.38,0.88,1.0,1.1,0.93,0.88,0.9,0.79,0.83,0.89,0.92,1.07
g_1,1.58,1.45,1.38,1.67,1.4,1.07,0.89,1.0,0.94,0.96,0.85,1.16,0.79,0.71,0.94,0.94
d_0,1.11,1.51,2.11,1.19,1.69,1.26,1.03,1.05,1.0,1.11,0.78,0.99,0.91,1.03,0.97,0.87
b_0,1.58,1.51,1.72,1.36,1.47,1.22,1.11,1.05,0.88,1.0,0.78,1.01,1.3,0.96,0.86,0.78
c_0,1.69,1.57,1.94,1.18,1.21,1.48,1.1,1.09,1.26,1.32,1.0,1.01,0.95,1.02,0.99,0.87
f_0,1.5,1.81,1.45,1.51,1.73,1.42,1.22,0.87,1.05,0.99,0.97,0.99,1.03,1.02,1.29,0.68
a_0,1.69,1.77,1.6,1.77,2.07,1.22,1.16,1.26,1.18,0.81,0.98,0.95,1.0,1.19,0.88,0.99
h_0,1.74,2.01,1.71,1.84,1.38,1.3,1.12,1.41,0.95,1.03,1.01,1.05,0.88,1.0,0.76,1.06
e_0,1.97,2.12,1.79,1.52,1.66,1.4,1.05,1.02,1.09,1.23,1.05,0.82,1.2,1.3,1.0,1.08
g_0,1.82,1.61,1.62,2.25,1.53,1.46,0.94,1.09,1.19,1.29,1.13,1.4,1.01,0.93,0.94,1.0
