,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,2.52,1.09,0.65,0.69,0.62,0.49,0.77,0.78,0.84,0.71,0.92,0.46,0.86,0.86,0.91,0.6
e_1,0.75,2.53,0.56,0.74,0.56,0.59,1.12,0.89,1.67,1.01,1.15,1.13,1.1,0.95,1.05,0.63
d_1,0.67,0.58,2.73,0.54,0.57,0.76,0.86,0.95,0.42,1.86,1.2,1.03,0.93,1.11,0.96,1.18
c_1,0.67,0.66,0.61,2.83,1.19,0.53,0.78,0.75,0.86,0.36,0.65,0.88,0.94,0.91,0.83,0.83
b_1,0.59,0.56,0.7,0.66,3.25,1.29,0.84,0.84,0.92,0.73,0.36,1.03,0.68,0.91,0.86,1.01
a_1,0.66,0.62,0.75,0.62,0.7,4.19,1.1,0.97,0.85,0.94,0.79,0.97,0.51,1.13,0.98,0.93
h_1,1.11,0.72,0.84,0.83,0.68,0.66,2.73,1.43,1.15,1.19,1.04,1.06,0.97,0.74,1.61,1.27
g_1,0.68,0.77,1.43,0.81,0.59,0.66,0.92,3.22,0.67,1.03,1.05,1.47,0.9,1.09,0.9,1.06
d_0,0.78,0.75,0.45,1.58,0.83,0.72,1.12,1.11,2.08,0.83,1.09,1.11,1.17,1.17,1.07,1.14
c_0,0.91,0.85,0.85,0.47,0.61,0.74,1.13,1.26,1.22,2.22,2.69,1.43,1.49,1.25,1.15,1.48
b_0,0.94,0.77,0.86,0.87,0.49,0.6,1.2,1.13,1.2,1.07,2.31,0.96,2.65,1.52,1.24,1.32
f_0,0.57,0.64,0.95,0.92,0.74,0.88,1.26,1.08,1.3,1.11,1.26,2.56,1.15,1.18,1.28,2.8
a_0,1.04,0.81,0.84,0.88,0.7,0.37,1.26,1.37,1.21,1.0,1.41,1.15,3.03,1.18,1.22,0.92
h_0,1.27,0.8,0.9,0.85,0.7,0.55,0.64,1.64,0.95,0.97,1.04,1.12,1.13,0.74,1.57,1.2
g_0,0.72,0.76,1.2,0.76,0.69,0.8,1.18,0.76,1.16,1.01,0.99,1.77,1.31,1.24,0.83,1.5
e_0,0.84,0.59,0.87,1.03,0.72,0.66,1.11,1.32,1.2,1.19,1.27,0.85,1.45,1.24,1.4,3.72
