,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,2.03,3.49,2.89,3.08,2.56,1.4,0.94,1.34,1.26,1.03,1.04,0.7,0.83,1.73,0.81
f_1,3.76,1.07,3.3,3.08,2.82,3.36,0.89,1.07,1.12,0.84,0.93,1.86,0.55,0.81,0.73,0.67
d_1,3.39,3.33,1.07,3.46,2.97,3.19,1.35,1.34,0.97,2.02,0.9,0.96,0.78,0.83,1.01,0.51
c_1,3.99,4.28,3.68,1.07,4.09,3.09,1.43,2.46,1.56,0.69,1.21,1.09,0.84,1.03,1.04,0.87
b_1,4.43,5.11,4.78,2.62,1.07,5.08,1.91,1.33,1.13,1.37,1.53,1.2,0.95,1.09,1.22,1.03
a_1,5.65,4.71,4.51,5.85,2.78,1.07,2.2,1.63,1.63,1.53,2.01,1.43,1.61,,1.34,1.5
h_1,6.85,9.03,7.08,7.77,6.16,5.51,1.38,1.83,3.02,2.5,2.26,2.17,2.6,1.96,1.67,2.1
c_0,8.83,9.93,5.0,16.04,8.3,7.84,3.5,1.6,3.48,2.52,2.74,2.39,2.46,2.6,2.24,1.93
g_1,9.32,11.82,8.62,7.7,10.92,7.08,2.32,2.33,1.38,2.42,2.28,2.38,1.57,2.57,1.9,2.58
d_0,5.1,10.69,14.46,11.1,8.74,9.41,3.23,2.9,3.63,1.67,2.9,2.1,2.38,2.17,2.41,2.02
b_0,9.01,9.22,9.94,10.0,28.24,5.91,3.43,1.72,3.22,2.61,1.62,2.62,1.88,3.24,2.31,1.83
f_0,9.9,24.94,10.13,9.48,8.55,7.44,3.44,2.84,2.83,2.96,2.47,1.61,2.31,3.4,2.89,1.8
h_0,10.79,13.59,11.65,11.72,10.75,9.05,6.3,3.01,5.3,3.14,4.04,3.22,5.24,2.76,2.47,2.61
a_0,12.4,13.34,13.51,14.45,12.72,,4.9,2.87,4.49,4.02,1.87,3.05,3.47,1.63,2.75,2.48
e_0,19.23,17.67,11.67,13.13,12.37,9.54,4.38,3.51,5.18,3.95,3.34,2.16,3.42,3.09,1.62,2.46
g_0,11.99,14.94,17.12,11.94,12.47,10.04,4.06,3.54,10.13,3.37,3.83,4.0,2.75,3.67,3.34,4.1
