,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.89,0.22,0.17,0.14,0.12,0.09,0.19,0.13,0.34,0.07,0.17,0.16,0.13,0.15,0.13,0.16
f_1,0.19,0.89,0.32,0.17,0.14,0.11,0.14,0.13,0.13,0.13,0.13,0.05,0.1,0.17,0.06,0.1
e_1,0.16,0.21,0.88,0.23,0.15,0.09,0.18,0.12,0.17,0.33,0.16,0.16,0.11,0.13,0.05,0.13
c_1,0.18,0.16,0.15,0.88,0.31,0.08,0.19,0.12,0.06,0.15,0.14,0.14,0.11,0.17,0.1,0.13
b_1,0.18,0.21,0.17,0.18,0.88,0.2,0.14,0.14,0.12,0.16,0.05,0.14,0.09,0.17,0.11,0.14
a_1,0.24,0.21,0.15,0.18,0.15,0.87,0.16,0.16,0.19,0.13,0.12,0.14,0.04,0.19,0.09,0.11
h_1,0.28,0.31,0.19,0.19,0.18,0.11,0.57,0.22,0.19,0.16,0.19,0.19,0.13,0.12,0.16,0.24
g_1,0.37,0.18,0.25,0.19,0.18,0.1,0.19,0.55,0.21,0.14,0.18,0.28,0.12,0.15,0.16,0.07
c_0,0.25,0.27,0.22,0.12,0.17,0.13,0.24,0.19,0.43,0.22,0.35,0.19,0.18,0.19,0.14,0.17
d_0,0.11,0.22,0.21,0.45,0.16,0.12,0.18,0.14,0.16,0.43,0.18,0.19,0.12,0.19,0.13,0.19
b_0,0.22,0.28,0.2,0.24,0.09,0.1,0.24,0.18,0.22,0.23,0.44,0.24,0.28,0.22,0.18,0.24
f_0,0.3,0.13,0.2,0.22,0.21,0.12,0.23,0.17,0.22,0.19,0.19,0.41,0.14,0.21,0.24,0.18
a_0,0.23,0.27,0.21,0.22,0.21,0.07,0.22,0.17,0.2,0.2,0.16,0.2,0.39,0.25,0.13,0.2
h_0,0.26,0.37,0.23,0.18,0.18,0.1,0.11,0.24,0.24,0.22,0.16,0.15,0.15,0.1,0.13,0.2
e_0,0.26,0.29,0.12,0.21,0.18,0.13,0.28,0.19,0.22,0.18,0.17,0.2,0.2,0.21,0.37,0.21
g_0,0.36,0.19,0.18,0.24,0.16,0.12,0.23,0.09,0.24,0.19,0.16,0.28,0.13,0.17,0.15,0.13
