,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.9,0.76,1.15,1.17,0.91,1.05,1.12,1.35,0.96,1.0,1.22,1.18,1.23,1.12,1.17
d_1,1.08,1.0,1.07,0.87,0.94,0.98,0.97,0.85,0.94,1.21,1.06,0.95,1.0,0.96,1.04,0.84
f_1,1.3,0.94,1.0,1.04,0.89,0.8,0.89,1.02,1.04,0.93,0.93,0.85,0.74,0.79,0.99,1.07
c_1,0.88,1.15,0.96,1.0,1.41,0.96,0.98,1.01,0.71,0.83,0.82,0.94,1.05,0.87,0.85,0.87
b_1,0.86,1.06,1.15,0.74,1.0,1.53,1.03,0.99,0.91,1.15,1.1,0.98,1.05,1.07,0.78,1.05
a_1,1.08,1.03,1.23,1.02,0.66,1.0,1.13,1.06,1.01,1.06,1.26,0.98,1.06,0.98,1.23,1.13
h_1,0.95,1.02,1.13,1.04,0.98,0.92,1.0,1.13,0.93,0.89,0.92,1.01,1.02,1.07,0.96,1.14
g_1,0.9,1.16,0.94,1.0,0.98,0.95,0.9,1.0,0.95,0.97,1.0,1.18,0.87,1.02,0.94,0.97
d_0,0.76,1.09,0.93,1.38,1.04,1.04,1.12,1.08,1.0,0.9,0.84,0.97,1.03,1.03,0.92,1.06
c_0,1.03,0.82,1.08,1.2,0.86,0.92,1.11,1.05,1.19,1.0,1.37,1.06,1.11,1.07,1.25,0.97
b_0,0.99,0.9,1.05,1.15,0.92,0.81,1.11,1.01,1.13,0.75,1.0,1.09,1.05,1.0,1.34,1.11
f_0,0.81,1.03,1.13,1.07,0.97,1.07,0.99,0.84,1.05,0.93,1.01,1.0,1.12,1.55,0.91,0.89
h_0,0.87,1.0,1.3,0.99,0.95,0.93,0.95,1.17,0.97,0.89,1.02,0.91,1.0,0.97,0.9,1.04
e_0,0.82,1.06,1.33,1.1,1.01,0.98,0.98,1.0,0.98,0.93,0.98,0.69,1.03,1.0,0.99,0.95
a_0,0.9,0.93,1.01,1.2,1.27,0.82,1.08,1.06,1.12,0.78,0.74,1.08,1.08,1.01,1.0,1.02
g_0,0.9,1.15,0.97,1.13,0.92,0.91,0.91,1.05,0.97,1.04,0.95,1.12,0.98,1.06,0.91,1.01
