,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.06,1.46,2.03,2.33,2.06,1.84,0.75,0.7,0.82,0.57,0.57,0.66,0.58,0.6,0.88,0.54
f_1,2.02,1.06,1.86,2.31,2.1,1.8,0.55,0.62,0.82,0.55,0.53,0.74,0.37,0.47,0.43,0.53
d_1,2.79,2.5,1.06,1.9,2.01,1.7,0.82,1.11,0.62,0.74,0.67,0.56,0.56,0.51,0.59,0.35
c_1,1.92,2.17,2.84,1.06,2.3,1.79,0.96,0.42,0.8,0.87,0.57,0.62,0.54,0.58,0.55,0.42
b_1,2.7,2.71,2.27,1.7,1.06,2.48,1.14,0.85,0.75,0.82,1.11,0.7,0.5,0.75,0.66,0.62
a_1,3.35,3.33,3.37,3.63,2.02,1.07,1.44,1.17,1.28,1.09,1.2,1.08,0.86,1.18,0.81,0.78
h_1,5.4,7.13,5.11,5.27,5.0,4.15,1.31,1.61,2.01,1.43,1.58,1.28,1.55,1.27,1.05,1.15
d_0,4.22,6.38,8.19,7.9,6.01,5.18,2.69,1.5,2.33,1.84,1.76,1.94,1.49,1.57,1.54,1.72
g_1,6.28,6.4,6.75,6.42,7.2,5.03,2.1,2.03,1.33,1.93,1.88,2.19,1.26,1.58,1.54,2.33
c_0,7.92,7.32,4.39,10.24,6.25,6.31,3.09,2.75,2.75,1.46,2.63,2.22,1.42,1.95,1.81,1.45
b_0,6.96,8.35,6.4,8.55,8.56,5.39,2.65,2.26,2.71,1.36,1.55,1.8,1.56,2.36,1.8,1.41
f_0,7.73,10.91,7.43,6.96,7.75,6.0,3.26,2.28,2.01,2.08,2.16,1.5,1.56,2.17,2.59,1.14
h_0,9.0,9.55,7.68,7.78,8.84,6.89,4.02,2.78,3.29,2.69,2.33,2.83,2.46,2.04,1.9,2.06
a_0,9.6,11.53,10.1,10.53,10.11,11.59,3.62,3.62,3.75,2.7,1.65,2.54,2.34,1.57,2.41,2.43
e_0,11.74,13.74,9.06,9.99,9.45,9.48,4.64,3.41,3.59,2.89,3.1,1.74,2.39,2.41,1.61,2.11
g_0,9.47,10.84,11.46,11.45,8.97,8.56,3.18,2.71,4.11,2.92,3.11,3.09,1.91,2.61,2.39,2.44
