,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.8,0.89,1.11,0.98,0.82,0.66,0.79,0.85,0.53,0.64,0.65,0.68,0.51,0.55,0.61
f_1,1.25,1.0,0.91,0.95,0.97,0.81,0.6,0.67,0.72,0.7,0.64,0.5,0.44,0.64,0.45,0.52
d_1,1.13,1.1,1.0,0.83,0.97,0.89,0.73,0.53,0.63,0.85,0.65,0.57,0.75,0.56,0.59,0.45
c_1,0.9,1.05,1.21,1.0,1.45,0.65,0.74,0.63,0.44,0.49,0.6,0.63,0.58,0.52,0.54,0.6
b_1,1.02,1.03,1.04,0.69,1.0,1.52,0.64,0.81,0.93,0.81,0.69,0.71,0.64,0.58,0.53,0.58
a_1,1.21,1.24,1.13,1.53,0.66,1.0,1.02,0.82,0.78,0.64,0.78,0.79,0.68,0.63,0.61,0.6
h_1,1.52,1.66,1.38,1.34,1.51,0.96,1.0,1.29,0.8,0.86,0.92,0.86,0.91,0.95,0.81,0.87
g_1,1.25,1.5,1.89,1.57,1.22,1.21,0.78,1.0,0.9,1.06,0.77,1.23,0.77,0.84,1.03,0.82
d_0,1.15,1.5,1.58,2.47,1.13,1.29,1.21,1.14,1.0,0.92,0.96,1.05,1.08,0.92,0.92,0.96
c_0,1.73,1.5,1.18,2.48,1.24,1.37,1.18,1.0,1.1,1.0,1.3,1.12,1.11,1.02,0.99,1.08
b_0,1.5,1.65,1.57,1.81,1.38,1.2,1.03,1.27,1.05,0.77,1.0,1.0,0.94,1.29,0.76,0.89
f_0,1.53,2.32,1.76,1.58,1.39,1.23,1.1,0.84,0.99,0.9,1.04,1.0,0.97,0.82,1.66,0.74
h_0,1.35,2.37,1.32,1.78,1.49,1.51,1.11,1.32,0.91,0.9,1.02,1.04,1.0,0.96,0.92,1.0
a_0,1.87,1.62,1.76,1.79,1.77,1.49,1.11,1.17,1.17,1.03,0.77,1.13,1.03,1.0,0.89,0.96
e_0,1.82,2.15,1.61,1.89,1.72,1.53,1.22,0.94,1.21,1.05,1.36,0.6,1.11,1.12,1.0,1.03
g_0,1.61,1.86,2.24,1.66,1.69,1.76,1.12,1.25,0.97,0.97,1.1,1.35,1.03,1.04,0.96,1.0
