,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.58,0.7,0.79,0.53,0.59,0.5,0.88,1.64,0.83,1.17,0.8,1.01,1.04,1.03,0.42,0.95
f_1,1.1,2.61,0.6,0.58,0.56,0.46,0.76,0.79,0.79,0.72,0.76,0.36,0.83,1.05,0.72,0.82
c_1,0.56,0.56,2.97,0.65,1.15,0.6,0.97,0.84,0.24,0.52,0.71,0.76,0.81,0.72,1.14,0.98
d_1,0.63,0.64,0.38,3.29,0.55,0.64,0.93,0.38,1.77,1.34,1.13,1.16,1.06,0.97,1.03,1.14
b_1,0.47,0.65,0.67,0.66,3.52,1.23,0.8,0.97,0.86,0.38,0.63,0.95,0.86,0.79,0.89,0.8
a_1,0.49,0.69,0.66,0.65,0.54,5.04,0.97,0.97,1.2,1.06,0.9,1.0,1.34,0.42,1.14,0.85
h_1,0.66,1.06,0.79,0.74,0.64,0.69,3.1,0.8,1.12,1.2,1.41,1.31,0.53,0.92,1.21,1.44
d_0,0.81,0.66,1.58,0.34,0.71,0.59,1.14,2.22,0.82,1.21,1.04,1.2,1.1,1.16,1.07,1.3
c_0,0.87,0.82,0.35,0.87,0.63,0.7,1.14,1.09,2.51,2.18,1.27,1.37,1.31,1.33,1.23,1.13
b_0,0.95,0.91,0.8,0.68,0.28,0.48,1.2,1.28,1.38,3.01,1.28,1.1,1.33,2.69,1.15,1.41
g_1,0.67,0.72,0.68,1.08,0.68,0.63,1.34,0.8,1.32,1.3,4.72,1.81,1.09,1.31,1.29,0.65
f_0,0.51,0.52,0.83,0.95,0.62,0.69,1.29,1.23,1.19,1.35,1.66,3.6,1.51,1.07,2.89,1.51
h_0,0.68,1.03,0.81,0.88,0.63,0.75,0.69,0.98,1.24,1.2,1.87,1.16,0.82,1.05,1.27,1.57
a_0,0.84,0.79,0.86,0.82,0.57,0.31,1.23,1.32,1.16,1.24,1.63,1.34,1.27,3.6,1.43,1.41
e_0,0.37,0.92,0.7,1.07,0.67,0.77,1.14,0.89,1.23,1.11,1.63,1.33,1.54,1.23,3.75,1.37
g_0,0.53,0.64,0.85,1.33,0.82,0.63,1.16,0.92,1.27,1.06,0.63,2.13,1.3,1.04,1.29,0.89
