,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,3.56,3.59,4.27,3.39,4.04,1.51,1.61,1.82,1.39,1.85,,0.9,1.97,1.74,2.08
e_1,2.57,0.41,3.4,3.98,4.01,3.56,1.75,1.85,1.69,1.75,1.53,1.99,1.32,1.66,,1.28
d_1,3.69,4.71,0.4,3.88,2.98,3.18,2.04,1.77,1.01,,1.83,1.55,1.28,1.63,1.73,1.28
c_1,3.96,3.32,4.59,0.38,6.44,3.63,1.75,,1.68,0.94,1.49,1.73,1.22,1.48,1.11,1.75
b_1,3.3,4.17,4.31,1.77,0.38,5.33,2.34,1.62,1.69,1.76,,1.46,1.87,1.78,1.41,1.11
a_1,3.26,3.56,4.42,4.05,2.26,0.32,1.6,1.79,1.82,1.52,1.87,2.01,1.8,,,1.35
h_1,1.8,1.75,1.76,1.71,1.68,1.72,0.27,0.83,1.33,0.67,0.81,0.89,,0.82,0.92,0.68
c_0,1.81,1.48,0.98,,1.8,1.56,0.94,0.29,0.74,0.95,0.87,0.71,0.62,0.68,0.69,0.53
g_1,2.04,2.49,2.49,2.06,1.82,2.25,0.7,0.92,0.24,0.81,0.78,0.92,0.4,0.73,,
d_0,1.6,1.06,,2.32,1.64,1.52,1.11,0.69,1.42,0.29,0.8,0.64,0.49,0.67,0.59,0.51
b_0,1.78,1.68,1.39,1.54,,2.01,0.81,0.46,1.05,0.62,0.27,0.63,0.95,1.05,0.65,0.51
f_0,,1.73,1.46,1.65,2.03,1.28,0.93,0.71,0.66,0.77,0.71,0.25,0.66,0.98,1.01,0.35
h_0,1.65,1.29,1.25,1.25,0.98,1.07,,0.51,1.12,0.64,0.43,0.57,,0.42,,0.52
a_0,1.42,2.3,1.91,1.63,1.52,,0.82,0.68,0.82,0.86,0.37,0.56,0.76,0.23,,0.79
e_0,1.74,,1.64,2.15,1.55,,0.72,0.59,,0.88,0.82,0.42,,,0.21,
g_0,1.07,1.21,1.32,0.97,1.35,1.28,0.6,0.74,,0.71,0.72,0.78,0.44,0.53,,
