,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.07,1.87,3.16,3.63,3.47,3.32,1.37,1.11,1.43,1.1,0.89,1.09,0.67,1.02,0.82,1.98
f_1,4.25,1.07,3.18,3.5,3.54,2.73,0.92,1.03,1.09,0.8,0.92,1.98,0.63,0.76,0.81,0.62
d_1,4.33,3.52,1.07,3.26,3.03,2.96,1.31,3.02,0.82,1.2,1.25,0.89,0.84,0.88,0.52,0.72
c_1,3.3,3.65,4.23,1.07,3.85,2.99,1.47,0.65,1.31,1.54,0.82,0.84,0.71,1.01,0.74,0.78
b_1,3.46,4.14,3.9,2.5,1.07,3.47,1.6,1.2,1.42,1.26,2.37,1.19,0.84,1.17,0.87,1.45
a_1,4.82,7.17,5.0,4.9,3.1,1.07,1.81,1.65,2.87,1.4,1.89,1.66,1.48,3.47,1.1,1.29
h_1,6.83,10.04,6.92,7.4,6.7,6.98,1.38,2.74,3.01,1.97,1.81,1.94,2.74,1.82,2.26,2.18
d_0,5.73,8.57,11.94,9.5,8.31,6.86,2.9,1.63,2.73,2.2,2.44,2.49,2.14,1.95,1.8,2.29
g_1,7.78,11.26,10.8,8.36,8.97,6.9,2.6,3.26,1.38,2.64,2.6,2.5,1.66,1.87,3.32,2.89
c_0,8.53,10.74,5.86,20.01,8.85,7.49,4.08,3.39,3.45,1.67,3.46,2.58,2.42,2.53,2.28,2.24
b_0,10.19,10.83,8.06,12.55,17.25,6.98,4.65,2.69,3.43,1.71,1.59,2.89,2.2,3.04,1.96,2.14
f_0,10.23,21.09,9.44,11.63,8.84,7.32,4.07,3.46,2.45,3.09,2.68,1.64,2.62,2.04,1.65,2.98
h_0,11.95,13.48,11.62,12.18,13.07,10.52,6.47,3.48,4.91,3.18,2.97,3.12,4.96,2.59,2.69,3.11
a_0,10.58,14.48,13.3,15.1,15.9,,4.57,4.82,4.89,3.77,1.96,3.3,3.18,1.66,3.41,3.12
g_0,13.56,14.16,14.92,12.93,13.71,13.95,3.36,4.86,6.62,4.01,4.19,3.56,2.97,3.01,4.01,3.76
e_0,19.63,26.82,14.75,12.47,11.0,10.7,4.94,3.69,4.5,4.23,4.76,2.13,2.56,3.24,2.88,1.67
