,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.41,0.8,0.91,0.87,0.91,0.79,0.37,0.51,0.36,0.42,0.37,0.53,0.26,0.4,0.33,0.37
d_1,0.89,0.41,0.97,0.85,0.86,0.86,0.51,0.35,0.41,0.66,0.37,0.39,0.3,0.39,0.39,0.23
e_1,0.56,0.9,0.4,0.97,0.95,1.12,0.48,0.56,0.4,0.49,0.4,0.5,0.36,0.41,0.63,0.38
c_1,0.88,1.04,0.76,0.39,1.04,0.77,0.41,0.47,0.47,0.25,0.36,0.33,0.38,0.31,0.4,0.33
b_1,0.92,0.92,0.9,0.54,0.37,1.0,0.63,0.46,0.52,0.49,0.93,0.43,0.37,0.5,0.47,0.38
a_1,1.09,0.87,0.88,1.11,0.51,0.3,0.55,0.49,0.44,0.36,0.47,0.41,0.38,0.72,0.39,0.36
h_1,0.9,0.68,0.75,0.75,0.79,0.65,0.24,0.49,0.37,0.34,0.38,0.37,0.52,0.4,0.31,0.36
g_1,0.84,0.84,0.72,0.88,0.88,0.69,0.35,0.23,0.35,0.38,0.35,0.37,0.21,0.36,0.32,0.35
c_0,0.93,0.51,0.78,1.45,0.84,0.7,0.44,0.43,0.25,0.45,0.39,0.38,0.3,0.34,0.35,0.3
d_0,0.73,1.13,0.48,1.03,0.78,0.87,0.45,0.44,0.34,0.25,0.43,0.33,0.29,0.36,0.32,0.33
b_0,0.88,0.68,0.78,1.02,1.21,0.65,0.36,0.41,0.23,0.29,0.24,0.33,0.34,0.47,0.3,0.26
f_0,1.28,0.7,0.69,0.85,0.84,0.68,0.43,0.32,0.34,0.37,0.38,0.24,0.33,0.42,0.46,0.2
h_0,0.86,0.85,0.71,0.8,0.74,0.62,0.48,0.53,0.33,0.36,0.3,0.3,0.37,0.34,0.32,0.31
a_0,0.89,0.69,0.78,0.9,0.82,1.08,0.41,0.42,0.34,0.34,0.21,0.32,0.33,0.21,0.32,0.38
e_0,1.22,0.69,0.97,0.83,0.69,0.74,0.45,0.43,0.36,0.38,0.35,0.18,0.31,0.37,0.21,0.26
g_0,0.79,0.98,0.71,0.78,0.66,0.71,0.3,0.52,0.32,0.38,0.35,0.39,0.24,0.35,0.38,0.39
