,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.14,0.98,0.83,0.82,0.77,0.51,0.58,0.57,0.33,0.47,0.38,0.34,0.34,0.32,0.22
f_1,0.88,1.0,1.25,1.09,0.9,0.63,0.43,0.44,0.48,0.41,0.4,0.37,0.35,0.27,0.24,0.31
e_1,1.02,0.8,1.0,0.98,0.94,0.74,0.53,0.65,0.42,0.56,0.44,0.42,0.41,0.34,0.28,0.35
c_1,1.2,0.92,1.02,1.0,1.26,0.62,0.5,0.34,0.36,0.49,0.34,0.4,0.39,0.37,0.36,0.39
b_1,1.23,1.11,1.06,0.8,1.0,1.48,0.61,0.56,0.43,0.47,0.47,0.45,0.38,0.37,0.39,0.3
a_1,1.3,1.59,1.35,1.61,0.68,1.0,0.55,0.48,0.56,0.57,0.59,0.67,0.46,0.49,0.44,0.46
h_1,1.96,2.37,1.89,1.97,1.66,1.68,1.0,0.9,0.78,1.05,0.74,0.76,0.69,0.61,0.71,0.73
d_0,1.66,2.21,1.41,3.12,1.84,2.16,1.14,1.0,0.95,0.99,1.11,0.88,0.87,0.83,0.72,0.79
c_0,1.72,2.11,2.35,2.8,2.27,1.77,1.28,1.09,1.0,1.07,1.19,0.88,0.85,0.84,0.66,0.9
g_1,3.02,2.31,1.76,2.0,2.15,1.73,0.97,1.0,0.96,1.0,0.88,1.02,0.65,0.56,0.66,0.79
b_0,2.08,2.65,2.19,3.04,2.36,1.55,1.36,0.93,0.83,1.16,1.0,0.97,0.88,1.09,1.04,0.73
f_0,2.79,2.92,2.32,2.48,2.23,1.56,1.29,1.28,1.09,0.99,1.01,1.0,1.01,0.96,1.24,0.62
h_0,2.97,3.02,2.27,2.58,2.65,2.14,1.34,1.18,1.2,1.48,1.16,1.03,1.0,1.03,0.77,1.1
a_0,2.96,3.69,2.94,2.79,2.87,2.08,1.63,1.08,1.14,1.77,0.92,1.0,0.94,1.0,0.88,0.83
e_0,3.08,4.18,4.09,2.93,2.62,2.2,1.31,1.36,1.56,1.5,1.05,0.8,1.24,1.01,1.0,0.89
g_0,4.36,3.31,2.68,2.54,3.36,2.15,1.4,1.24,1.27,1.31,1.26,1.57,0.91,1.11,1.11,1.0
