,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.46,2.3,4.11,4.91,5.39,3.81,1.15,0.85,1.28,0.85,0.9,1.23,0.72,0.56,6.59,0.63
f_1,4.28,0.44,4.86,4.31,4.09,3.96,0.75,0.9,1.49,0.76,0.69,3.57,0.94,0.41,0.91,0.72
d_1,5.53,4.36,0.43,4.83,3.62,5.48,1.29,3.75,0.82,0.84,1.03,0.68,0.96,0.67,0.68,0.39
c_1,3.71,5.04,5.3,0.42,4.43,3.85,1.46,0.5,1.31,3.41,0.93,0.84,0.88,0.72,0.93,0.63
b_1,4.59,5.21,5.3,2.8,0.39,5.06,1.47,1.16,1.74,1.39,4.48,1.12,1.11,0.9,0.86,0.58
a_1,6.11,8.51,6.66,4.63,3.39,0.32,1.77,1.26,2.39,1.33,1.56,1.35,5.05,0.88,0.87,1.13
h_1,5.12,5.84,4.26,5.22,5.24,4.29,0.36,1.05,1.34,0.88,0.81,0.81,0.94,1.64,0.93,0.9
d_0,2.81,7.03,15.4,5.82,5.8,8.12,2.07,0.44,1.53,1.13,0.97,0.94,1.46,0.85,1.15,1.16
g_1,5.83,6.41,5.77,7.05,5.26,5.82,1.52,1.13,0.32,1.13,0.98,1.04,1.12,0.61,1.01,2.37
c_0,6.66,5.48,2.72,19.06,7.31,5.46,1.99,1.63,1.45,0.43,1.37,1.15,1.19,0.91,1.26,1.08
b_0,4.78,6.79,5.54,6.69,,5.11,1.89,1.07,1.62,0.66,0.41,1.16,1.78,0.95,0.97,0.94
f_0,5.86,24.58,6.39,7.15,5.91,5.45,1.96,1.35,1.13,1.12,1.01,0.38,1.26,0.77,1.23,0.55
a_0,6.9,6.12,6.07,7.29,9.64,,1.97,1.56,1.78,1.33,0.74,1.07,0.34,1.01,1.54,1.32
h_0,7.23,6.85,6.46,7.12,7.45,7.77,5.58,1.5,1.64,1.32,1.45,1.16,1.53,3.4,1.2,1.18
e_0,24.76,10.13,4.75,7.18,5.8,7.2,2.27,1.96,1.82,1.52,1.79,0.69,1.6,1.32,0.36,1.27
g_0,7.25,9.67,7.05,6.29,10.54,9.56,2.12,1.78,4.49,1.45,1.76,1.22,2.12,0.76,1.33,2.78
