,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,11573.51,4368.76,3236.67,4459.27,7463.46,17394.91,2835293.46,6209960.11,9761348.33,8731874.54,20803542.24,16600932.38,56563686.19,89091421.09,262743096.52,115712259.72
e_1,3050.01,11721.27,2615.43,4517.9,6730.53,20045.58,4118441.11,7416874.38,21198622.76,12793438.69,26817742.99,46075130.62,74558906.73,98907670.26,290197617.25,111255183.29
d_1,2621.28,2258.11,15299.71,3365.28,6805.96,28200.18,3257557.72,7814556.18,4771984.06,23122362.08,27069525.52,40114004.73,62879770.49,119202704.02,265197903.84,241410911.38
c_1,2667.47,2692.06,2838.04,20473.62,14010.87,18304.45,2915199.83,6162673.43,10440554.33,3586164.13,15685213.68,36052321.67,65248649.46,92909313.73,233690517.2,162679381.77
b_1,2248.85,2211.04,3347.27,4086.17,45164.61,46044.15,3225576.66,6748426.74,11456326.31,8798774.55,7642901.6,44295731.36,46514493.68,93723005.73,239134564.83,197886479.43
a_1,2635.84,2574.68,3549.39,3805.45,7926.72,177708.11,4339277.76,7861285.4,10414393.72,12130328.57,17491511.68,35305523.36,30202916.32,108441146.43,260716403.02,178569542.18
h_1,4299.55,2690.31,4057.93,4920.02,7672.92,23714.24,11925244.14,11925946.55,15209612.19,14809835.95,23041754.85,41727425.68,67237322.03,66801413.83,458583995.73,265716035.71
g_1,2646.64,3096.32,7029.28,5335.7,7088.37,25381.65,3557075.3,30040804.85,7553059.56,12594185.22,23600985.58,58990431.94,59661552.42,121126681.26,231760944.6,216256021.14
d_0,3140.35,2802.78,1925.09,9534.67,9673.52,27094.52,4490850.64,8987684.67,27985585.56,10638296.7,23949267.41,45919910.34,82964939.97,110058868.68,313574748.46,235493519.96
c_0,3532.9,3177.29,4338.4,2683.06,6985.18,26403.2,4138425.56,11105814.69,14750434.88,30896565.75,60653078.17,55345714.18,102849052.99,129433614.74,336267657.89,261114081.26
b_0,3632.97,3145.01,4114.26,5323.57,6043.42,23206.08,4432971.67,9192877.47,14964144.32,12891568.58,57316679.27,38930021.08,190039955.28,145968138.08,353681518.74,274181741.09
f_0,2195.89,2555.98,4836.89,5694.47,8318.12,32104.92,4792485.91,8884025.06,16790925.67,14678647.16,28204000.75,117584118.42,78476344.88,108909249.22,371712708.75,555071922.85
a_0,4008.01,3099.22,4105.4,5627.27,8728.09,11040.72,4614711.77,10616592.06,13260379.55,12381833.82,31445864.12,43292392.24,233519572.02,126862388.42,352431824.26,173822806.59
h_0,5179.14,3231.33,4360.18,5141.71,7973.78,20402.48,2284195.93,13363971.32,12125599.27,12360618.34,24558290.96,46591846.6,81584204.54,79117833.71,443261912.67,253505862.11
g_0,2672.1,2996.69,6046.79,4876.43,8624.66,31047.89,4412231.4,5526851.96,14260001.39,12553761.09,23433879.4,75558369.15,93499645.15,125942115.07,214923365.44,297600029.1
e_0,3320.37,2193.48,4272.11,6521.85,8493.83,25537.37,4360681.06,9575664.04,15132946.26,16065999.1,28384316.93,31207706.06,99197210.84,137812844.27,372370013.8,829202535.06
