,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,a_0,h_0,e_0,g_0
f_1,0.67,2.55,2.16,1.97,1.71,1.66,0.75,0.72,1.26,0.6,1.32,0.69,0.59,0.51,0.66,0.69
e_1,1.27,0.67,1.61,2.65,2.52,2.14,0.93,0.92,0.92,0.84,0.83,0.81,0.61,0.67,0.92,0.62
d_1,2.12,2.6,0.65,2.25,1.85,2.13,0.87,1.78,0.59,1.03,0.71,0.66,0.62,0.51,0.73,0.39
c_1,2.21,1.93,2.49,0.64,2.54,1.88,0.97,0.48,0.98,1.71,0.67,0.74,0.85,0.57,0.71,0.64
b_1,2.75,1.95,2.88,1.33,0.63,2.37,1.0,0.92,1.05,0.87,1.0,1.61,0.86,0.7,0.72,0.73
a_1,3.15,2.49,2.38,2.81,1.58,0.57,1.51,1.25,1.03,1.15,1.01,1.51,,0.76,0.8,0.78
h_1,3.08,2.55,2.66,2.51,2.56,2.1,0.6,0.89,1.16,0.8,0.87,0.88,0.79,1.36,0.8,0.81
d_0,3.25,1.69,4.46,3.38,3.38,2.39,1.43,0.68,1.39,1.19,1.04,1.09,1.11,0.97,1.01,1.05
g_1,2.62,2.86,3.49,3.26,2.71,2.97,1.16,1.14,0.56,0.82,0.95,1.24,0.86,0.73,1.02,1.32
c_0,3.23,2.67,1.76,6.25,3.35,2.83,1.4,1.12,1.64,0.65,1.04,1.18,1.25,0.96,1.04,0.92
f_0,6.69,2.69,2.96,3.26,2.61,2.71,1.56,1.13,1.21,0.98,0.64,1.15,0.91,0.94,1.24,0.61
b_0,3.52,2.79,2.76,3.58,7.08,2.01,1.47,1.18,1.15,0.68,1.0,0.63,1.34,1.09,1.15,0.95
a_0,5.16,3.43,3.68,3.41,3.6,,1.75,1.27,1.65,0.93,1.1,0.67,0.63,1.01,1.22,0.98
h_0,3.53,3.12,3.78,3.51,3.44,3.46,2.7,1.2,1.5,1.12,1.07,1.12,1.25,1.71,1.21,1.02
e_0,4.47,6.7,2.93,3.29,3.38,3.29,1.81,1.0,1.55,1.2,0.68,1.25,1.1,0.96,0.6,0.79
g_0,3.44,3.82,4.25,3.26,4.05,3.64,1.43,1.3,2.39,1.4,1.58,1.27,1.19,0.93,1.54,
