,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,1.0,0.59,0.97,0.91,0.89,0.26,0.21,0.29,0.2,0.19,0.23,0.14,0.17,0.24,0.15
d_1,1.18,0.41,0.98,0.99,0.87,0.75,0.23,0.28,0.18,0.18,0.19,0.19,0.11,0.16,0.15,0.09
f_1,0.9,0.89,0.41,0.95,0.87,0.77,0.19,0.2,0.31,0.18,0.18,0.27,0.11,0.18,0.19,0.14
c_1,0.76,1.18,1.02,0.4,0.96,0.84,0.3,0.13,0.29,0.29,0.19,0.2,0.13,0.17,0.22,0.15
b_1,0.98,1.16,1.06,0.62,0.38,1.16,0.33,0.2,0.3,0.31,0.31,0.22,0.17,0.2,0.22,0.16
a_1,1.5,1.55,1.26,1.07,0.63,0.32,0.42,0.32,0.39,0.31,0.4,0.28,0.19,0.4,0.27,0.23
h_1,1.63,1.71,1.92,1.7,1.59,1.53,0.29,0.36,0.51,0.37,0.3,0.32,0.3,0.29,0.3,0.22
d_0,1.23,2.33,1.73,1.98,2.01,2.14,0.68,0.31,0.65,0.4,0.39,0.4,0.32,0.36,0.35,0.3
g_1,2.01,1.78,2.02,1.89,1.76,1.61,0.48,0.42,0.26,0.41,0.39,0.35,0.22,0.31,0.37,0.33
c_0,2.09,1.25,2.07,3.16,2.0,1.72,0.62,0.68,0.58,0.28,0.41,0.4,0.3,0.39,0.34,0.23
b_0,2.04,1.72,2.15,2.88,2.72,1.99,0.58,0.49,0.62,0.27,0.28,0.43,0.33,0.43,0.37,0.26
f_0,2.22,1.93,3.04,2.28,2.06,2.06,0.66,0.59,0.37,0.44,0.39,0.26,0.29,0.44,0.46,0.23
h_0,2.52,2.3,2.26,2.58,2.44,2.03,0.92,0.53,0.76,0.46,0.45,0.55,0.44,0.4,0.38,0.33
a_0,2.31,2.41,2.38,2.71,3.16,3.03,0.68,0.53,0.81,0.45,0.3,0.48,0.4,0.29,0.46,0.34
e_0,2.78,2.36,3.59,2.72,2.52,2.48,0.94,0.54,0.66,0.52,0.57,0.28,0.36,0.47,0.26,0.3
g_0,2.76,2.56,2.7,2.88,2.52,2.49,0.67,0.62,0.89,0.63,0.55,0.53,0.3,0.58,0.46,0.41
