,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.71,1.12,1.41,1.26,1.07,0.37,0.4,0.28,0.24,0.23,0.29,0.16,0.24,0.37,0.19
f_1,1.13,0.42,1.14,1.19,1.01,1.14,0.25,0.37,0.26,0.22,0.24,0.32,0.12,0.2,0.23,0.19
d_1,1.5,1.2,0.41,1.29,1.3,1.05,0.28,0.21,0.45,0.24,0.25,0.21,0.17,0.22,0.2,0.11
c_1,0.97,1.27,1.62,0.4,1.24,1.16,0.4,0.41,0.15,0.39,0.26,0.25,0.2,0.3,0.3,0.17
b_1,1.21,1.44,1.36,0.7,0.39,1.54,0.36,0.38,0.29,0.41,0.48,0.28,0.21,0.31,0.3,0.2
a_1,1.54,1.81,1.65,1.49,0.83,0.33,0.52,0.53,0.32,0.38,0.43,0.33,0.27,0.53,0.31,0.27
h_1,2.25,2.22,2.29,1.97,1.85,1.86,0.3,0.62,0.5,0.47,0.47,0.4,0.43,0.39,0.39,0.31
g_1,2.29,2.65,2.32,2.58,2.25,1.99,0.48,0.28,0.51,0.49,0.46,0.46,0.27,0.48,0.43,0.4
d_0,1.48,2.44,3.23,2.48,2.54,1.89,0.76,0.8,0.33,0.55,0.48,0.51,0.37,0.62,0.54,0.42
c_0,2.49,2.72,1.35,4.32,2.57,2.27,0.79,0.7,0.76,0.31,0.5,0.52,0.34,0.48,0.44,0.31
b_0,2.49,2.52,1.96,3.24,3.93,2.1,0.87,0.79,0.56,0.3,0.31,0.51,0.49,0.41,0.44,0.33
f_0,2.53,4.17,2.71,2.54,2.37,2.26,0.71,0.47,0.55,0.57,0.48,0.31,0.38,0.49,0.41,0.23
h_0,2.82,3.23,2.89,3.15,3.19,2.65,1.13,0.92,0.69,0.6,0.58,0.64,0.58,0.58,0.57,0.36
a_0,2.91,3.07,2.81,3.24,4.42,2.85,1.13,0.92,0.64,0.52,0.35,0.63,0.42,0.28,0.54,0.44
e_0,3.53,4.73,3.09,3.23,2.48,2.73,0.88,0.72,0.7,0.69,0.7,0.3,0.54,0.65,0.27,0.32
g_0,3.58,3.85,3.41,3.36,3.45,2.76,0.7,1.24,0.92,0.69,0.73,0.65,0.38,0.7,0.58,0.59
