,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,92.79,19.9,18.67,16.83,28.36,64.44,2720.95,3848.47,5980.68,5374.66,5702.32,,18626.71,,29392.99,57498.67
e_1,9.25,98.44,18.06,19.16,21.41,89.12,2282.77,4685.52,4473.8,4309.28,8597.5,10949.22,23378.22,,35340.1,59606.66
c_1,9.34,8.8,140.83,17.99,36.86,63.56,2131.84,2595.15,,4601.64,6060.94,8409.08,21351.27,32230.22,29053.81,41719.09
d_1,11.9,10.56,11.3,152.01,22.2,47.43,1612.58,,6787.81,3602.58,6886.35,8954.43,22794.63,25824.83,29397.34,37504.89
b_1,8.98,7.88,12.43,15.63,193.29,101.21,2122.95,2457.91,3813.74,2777.95,,7584.35,17682.34,29594.35,,28349.73
a_1,6.15,4.98,7.33,10.18,12.54,448.98,1521.0,2114.92,3260.48,3253.37,,6074.13,10579.88,,,30442.55
h_1,5.45,4.74,6.08,8.95,9.54,25.36,3551.91,1447.34,1677.37,3002.23,3407.58,4668.39,,14314.58,14609.71,26746.31
d_0,4.11,4.93,13.66,,10.36,27.67,945.5,3605.02,2430.71,1927.8,4173.32,3892.95,9734.77,16649.65,11905.73,22319.62
c_0,3.04,5.07,,6.47,9.88,26.45,1266.19,1234.04,5208.56,1893.06,4069.18,4213.15,7497.94,9994.11,13338.68,22276.14
g_1,3.02,3.01,5.85,9.52,8.56,21.36,453.44,1046.7,2051.76,6592.25,2532.02,4864.41,6591.79,,,
b_0,4.59,3.97,5.33,5.82,,,859.42,852.91,1686.81,1474.72,7452.94,3296.2,7594.27,,16917.38,20158.44
f_0,,3.26,7.4,6.07,8.17,17.05,762.14,1167.88,1338.26,1104.85,2435.54,8744.46,6733.28,21601.82,,14248.94
h_0,4.45,2.91,4.85,4.23,7.87,23.9,,1155.82,2103.37,1977.74,2989.17,2154.55,,8827.64,11152.55,20826.07
e_0,,,3.8,5.26,5.76,,378.26,934.25,1169.18,,,1758.69,4289.75,22674.86,,13260.53
a_0,2.55,2.3,3.68,4.21,,,377.16,824.47,891.48,,1669.18,,5073.98,,23817.83,
g_0,1.92,2.38,3.85,7.44,6.67,16.02,505.74,647.61,1300.35,,1554.2,3493.74,4252.54,6729.87,,
