,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.67,0.87,1.08,1.05,0.96,0.78,0.84,0.77,0.72,0.59,0.68,0.56,0.71,0.6,0.67
f_1,1.48,1.0,0.96,0.99,0.96,0.71,0.52,0.66,0.56,0.55,0.6,0.58,0.53,0.49,0.61,0.37
d_1,1.14,1.04,1.0,0.88,0.91,0.87,0.75,0.87,0.5,0.89,0.8,0.61,0.63,0.55,0.46,0.49
c_1,0.93,1.01,1.13,1.0,1.27,0.88,0.77,0.49,0.71,0.51,0.51,0.55,0.57,0.58,0.56,0.54
b_1,0.95,1.04,1.1,0.79,1.0,1.17,0.82,0.68,0.71,0.72,0.68,0.72,0.59,0.59,0.61,0.78
a_1,1.04,1.42,1.14,1.13,0.86,1.0,0.75,0.81,1.02,0.76,0.88,0.85,0.79,0.72,0.58,0.67
h_1,1.26,1.93,1.36,1.35,1.22,1.28,1.0,1.11,1.15,0.79,0.74,0.81,0.89,0.81,1.2,0.9
d_0,1.13,1.53,1.16,2.04,1.44,1.25,0.94,1.0,0.85,0.83,0.98,0.94,1.01,0.75,0.81,0.91
g_1,1.22,1.75,2.01,1.38,1.41,0.99,0.88,1.1,1.0,0.95,0.97,1.11,0.76,0.77,0.97,1.09
c_0,1.41,1.86,1.14,2.09,1.42,1.33,1.28,1.21,1.07,1.0,1.46,0.95,1.05,0.93,0.96,0.84
b_0,1.63,1.73,1.29,1.93,1.56,0.98,1.34,0.98,1.05,0.68,1.0,1.07,1.0,1.36,0.83,0.77
f_0,1.53,1.88,1.63,1.86,1.4,1.13,1.23,1.14,0.88,1.05,0.95,1.0,1.06,0.79,0.84,1.26
h_0,1.7,2.01,1.57,1.78,1.68,1.27,1.1,1.04,1.32,0.94,0.98,0.93,1.0,0.85,0.98,1.02
a_0,1.44,1.94,1.79,1.91,1.72,,1.23,1.38,1.34,1.08,0.69,1.13,1.23,1.0,1.2,1.0
g_0,1.59,1.69,2.22,1.67,1.7,1.57,0.84,1.27,1.09,1.07,1.14,1.22,1.01,0.85,1.0,1.05
e_0,1.45,3.07,2.0,1.75,1.25,1.36,1.17,1.03,1.05,1.21,1.38,0.71,0.93,0.97,0.97,1.0
