,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,13.79,0.64,0.55,0.76,0.53,0.5,0.95,0.77,0.77,2.13,0.91,0.91,1.05,0.92,0.49,0.97
f_1,1.21,15.37,0.52,0.51,0.49,0.57,0.71,0.77,0.6,0.79,0.86,0.33,0.87,0.84,0.59,0.8
d_1,0.51,0.58,17.34,0.45,0.55,0.65,0.95,2.12,0.99,0.42,1.0,0.96,0.95,0.99,1.15,0.88
c_1,0.54,0.51,0.54,19.13,1.26,0.45,0.78,0.33,0.94,0.79,0.81,0.99,0.9,0.68,0.85,0.98
b_1,0.48,0.59,0.56,0.57,21.67,1.37,0.89,0.7,0.69,0.79,0.32,0.92,0.93,0.62,0.91,0.86
a_1,0.54,0.57,0.54,0.66,0.52,27.5,0.95,0.91,1.13,0.65,1.08,1.21,1.09,0.56,1.21,1.03
h_1,0.55,1.15,0.79,0.64,0.68,0.64,5.12,1.04,1.59,1.1,1.29,1.33,0.65,1.2,1.41,1.7
c_0,0.72,0.75,0.83,0.39,0.54,0.67,1.48,3.25,1.36,1.25,3.43,1.45,1.48,1.79,1.42,1.42
g_1,0.53,0.6,1.47,0.64,0.81,0.8,0.99,1.28,6.28,0.82,1.27,2.01,0.91,1.35,1.13,0.61
d_0,0.69,0.76,0.36,1.9,0.75,0.58,1.0,0.92,1.19,2.74,1.25,1.11,1.41,1.21,1.17,1.55
b_0,0.67,0.85,1.05,0.68,0.47,0.44,1.2,1.28,1.19,1.14,3.35,1.28,1.18,3.64,1.33,1.35
f_0,0.44,0.37,0.94,0.99,0.81,0.74,1.27,1.38,1.22,1.44,1.2,3.93,1.29,1.52,3.33,1.35
h_0,0.78,1.12,0.85,0.74,0.7,0.57,0.66,1.01,1.63,1.15,1.42,0.95,0.69,1.11,1.17,1.57
a_0,0.65,0.75,1.03,0.94,0.65,0.26,1.35,1.48,1.13,1.44,1.02,1.2,1.62,4.81,1.45,1.29
e_0,0.3,1.06,0.61,0.8,0.63,0.85,1.57,1.61,1.42,1.17,1.64,1.63,1.6,1.61,5.02,1.37
g_0,0.55,0.59,1.5,0.8,0.64,0.59,0.94,1.25,0.73,0.98,1.34,2.12,1.15,1.22,1.28,0.86
