,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.14,1.01,1.35,1.71,3.65,18.65,21.54,29.35,39.16,37.17,49.58,77.13,88.71,92.39,115.0
f_1,0.88,1.0,1.33,1.53,1.55,2.88,15.82,25.84,26.71,25.65,28.47,38.95,56.31,67.88,120.52,75.7
e_1,0.99,0.75,1.0,1.61,1.74,3.4,21.18,25.34,36.98,30.58,36.58,50.02,68.69,76.59,102.03,102.35
c_1,0.75,0.65,0.62,1.0,1.55,2.06,13.4,17.33,13.39,13.99,18.4,35.96,53.34,48.38,64.97,74.85
b_1,0.58,0.65,0.58,0.65,1.0,2.89,10.7,14.34,15.42,16.7,20.93,29.79,41.71,50.16,70.76,67.57
a_1,0.27,0.34,0.29,0.49,0.35,1.0,6.71,9.43,8.5,8.63,11.83,13.79,24.05,28.36,37.69,37.17
h_1,0.05,0.06,0.05,0.08,0.09,0.15,1.0,1.63,1.38,1.28,1.61,2.26,4.13,3.97,6.65,6.17
g_1,0.04,0.04,0.04,0.06,0.07,0.11,0.62,1.0,0.97,1.16,1.33,2.24,2.5,2.85,3.44,4.56
d_0,0.04,0.04,0.03,0.08,0.06,0.12,0.7,1.02,1.0,0.95,1.35,1.43,2.79,2.36,3.93,4.73
c_0,0.03,0.04,0.03,0.07,0.06,0.12,0.78,0.89,1.12,1.0,1.72,1.63,2.68,2.85,3.38,4.39
b_0,0.03,0.03,0.03,0.05,0.05,0.09,0.62,0.72,0.71,0.59,1.0,1.26,2.13,2.88,3.35,2.84
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.41,0.43,0.64,0.63,0.78,1.0,1.53,1.85,1.88,4.08
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.24,0.4,0.35,0.38,0.47,0.65,1.0,1.02,1.74,1.31
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.25,0.36,0.41,0.36,0.35,0.52,0.97,1.0,1.42,1.32
g_0,0.01,0.01,0.01,0.02,0.01,0.02,0.14,0.27,0.22,0.28,0.32,0.54,0.57,0.73,1.0,1.13
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.22,0.21,0.23,0.38,0.27,0.74,0.73,0.88,1.0
