,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.72,0.8,0.75,0.98,0.81,0.82,0.98,0.9,1.57,0.8,1.04,0.99,1.02,1.03,0.86,0.95
f_1,1.29,1.78,0.72,0.83,0.65,0.69,0.94,0.85,0.96,0.9,0.69,1.01,0.97,0.88,0.7,0.99
d_1,0.73,0.9,1.99,0.63,0.67,0.73,0.96,0.98,0.61,1.74,1.03,1.3,1.05,1.13,1.1,1.11
c_1,0.76,0.78,0.75,1.92,1.45,0.75,0.92,0.89,0.88,0.57,0.92,0.62,0.93,0.87,0.93,0.9
b_1,0.71,0.8,0.8,0.8,2.18,1.48,0.93,1.03,0.96,0.85,0.95,0.67,0.91,0.75,0.87,0.83
a_1,0.88,0.79,0.92,0.98,0.76,2.84,1.08,0.95,0.96,0.97,1.0,0.92,0.96,0.74,1.04,0.92
h_1,0.85,1.11,0.98,0.9,0.68,0.76,1.81,1.47,0.98,0.95,1.09,0.99,0.92,1.04,1.14,1.28
g_1,0.72,0.88,1.33,0.76,0.85,0.76,0.92,2.0,0.76,1.14,1.5,0.96,1.03,1.14,1.37,1.01
d_0,0.85,0.96,0.63,1.41,0.97,0.7,0.95,0.91,1.38,0.62,0.95,0.93,1.1,1.1,1.01,0.88
c_0,0.84,0.97,1.01,0.8,0.59,0.83,1.16,1.02,1.06,1.63,1.26,1.98,1.18,1.33,1.22,1.3
f_0,0.75,0.81,1.01,0.89,0.93,0.83,1.08,1.18,1.03,1.03,1.8,1.16,1.06,1.09,2.29,1.18
b_0,0.87,1.02,0.94,0.94,0.63,0.67,0.95,1.07,1.01,1.08,1.08,1.76,1.21,2.03,1.1,1.26
h_0,0.84,1.22,1.06,0.74,0.82,0.71,0.77,1.28,0.8,1.07,1.03,1.03,0.89,1.01,0.96,1.27
a_0,0.88,0.94,0.97,0.88,0.87,0.79,1.15,1.03,0.95,1.08,0.99,1.1,1.18,1.96,0.97,1.23
e_0,0.75,1.02,1.0,0.93,0.84,0.7,1.22,1.18,0.99,1.13,1.13,1.26,1.22,1.01,2.03,1.2
g_0,0.82,0.83,1.35,0.82,0.79,0.74,1.03,0.98,0.82,1.2,1.51,1.14,1.1,1.21,1.43,0.91
