,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.35,1.16,0.7,0.89,0.78,0.59,1.42,1.67,1.68,1.4,1.77,0.62,1.97,1.37,1.35,1.87
e_1,0.69,2.39,0.72,0.87,0.68,0.87,1.6,2.59,1.5,1.82,1.38,1.93,2.05,1.8,1.36,2.1
d_1,0.83,0.8,2.5,0.57,0.73,0.78,1.52,0.99,1.37,2.75,1.92,1.69,2.21,2.09,2.09,1.74
c_1,0.76,0.69,0.82,2.57,1.2,0.73,1.51,1.61,1.2,0.76,1.61,1.83,2.55,1.58,1.63,1.86
b_1,0.72,0.91,0.84,0.71,2.78,1.4,1.52,1.63,1.4,1.45,0.91,1.37,1.61,1.17,1.03,1.77
a_1,0.87,0.67,0.86,0.8,0.57,3.28,1.45,1.74,1.25,1.88,1.95,2.29,2.32,1.39,1.97,2.83
h_1,1.38,0.81,1.11,0.97,0.93,0.89,3.83,2.11,2.74,2.14,2.1,1.94,1.62,2.06,2.44,3.41
d_0,1.19,0.89,0.5,1.75,0.94,0.89,1.84,3.54,1.41,1.85,2.09,2.55,2.59,2.02,2.38,3.07
g_1,0.88,0.83,1.44,1.03,1.06,1.07,1.34,2.21,4.29,1.75,2.44,3.51,2.61,2.53,2.58,1.75
c_0,1.23,0.85,1.0,0.62,1.01,0.96,2.35,2.18,2.62,3.83,4.06,2.48,3.21,3.13,2.52,3.27
b_0,1.01,1.2,1.05,1.15,0.46,0.7,2.36,2.36,2.5,1.9,4.14,2.61,2.73,4.12,2.71,2.44
f_0,0.83,0.91,1.32,0.94,1.39,0.72,1.76,2.04,1.96,2.37,2.49,4.29,2.89,2.28,4.06,2.79
h_0,1.3,0.92,0.92,0.98,1.03,1.08,1.4,2.19,2.07,2.08,2.4,2.47,1.88,2.57,2.4,3.63
a_0,1.29,0.98,1.07,1.08,1.15,,2.29,2.16,2.2,2.27,2.09,2.62,2.61,4.75,2.86,3.02
e_0,1.3,0.47,0.99,1.07,1.33,0.82,2.25,2.63,2.02,2.51,2.83,2.25,3.17,1.9,4.83,4.4
g_0,0.88,0.84,1.58,0.91,1.17,0.79,1.73,1.77,1.73,1.88,2.33,3.54,2.05,2.28,2.19,2.02
